panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2b_dual_staggered_return,4,8,5,3.838882000,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,8,6,3.839328500,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,8,7,3.838509000,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,8,8,3.838934250,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,8,9,3.839037750,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,8,10,3.839459000,3.839037050,0.000314831,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2b_dual_staggered_return,4,9,1,3.888292750,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,2,3.889309750,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,3,3.888108000,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,4,3.889326250,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,5,3.888659000,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,6,3.889204750,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,7,3.888273000,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,8,3.888712500,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,9,3.888800000,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,4,9,10,3.889055500,3.888774150,0.000319980,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2b_dual_staggered_return,5,4,1,3.343546250,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,2,3.343569500,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,3,3.343179250,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,4,3.343729000,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,5,3.343142000,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,6,3.343827500,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,7,3.343596500,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,8,3.343225000,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,9,3.343455000,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,4,10,3.343780750,3.343505075,0.000178960,20000,4000000,20260901,"28 28 29 30"
table2b_dual_staggered_return,5,5,1,3.822328750,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,2,3.822615250,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,3,3.822139750,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,4,3.822640750,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,5,3.821593500,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
table2b_dual_staggered_return,5,5,6,3.822434000,3.822194450,0.000247080,20000,4000000,20260901,"28 28 29 30 31"
