panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2a_single_staggered,4,8,8,3.588562500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,9,3.588812000,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,10,3.588963750,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,9,1,3.686890750,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,2,3.687874250,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,3,3.687568500,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,4,3.687108500,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,5,3.687595000,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,6,3.687447750,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,7,3.687776750,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,8,3.687137750,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,9,3.687197250,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,10,3.687508000,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,5,4,1,2.950745500,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,2,2.950644750,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,3,2.950571000,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,4,2.950918250,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,5,2.950744500,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,6,2.951160500,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,7,2.950194750,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,8,2.950985000,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,9,2.951097000,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,4,10,2.951511750,2.950857300,0.000260022,20000,4000000,20260901,"28 28 29 30"
table2a_single_staggered,5,5,1,3.358855750,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,2,3.358628500,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,3,3.358714500,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,4,3.359246250,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,5,3.358602250,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,6,3.359455500,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,7,3.358071750,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,8,3.358761250,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,9,3.359094750,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
table2a_single_staggered,5,5,10,3.358641500,3.358807200,0.000277173,20000,4000000,20260901,"28 28 29 30 31"
