panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2c_dual_staggered_turnaround,4,5,15,3.439635338,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,16,3.440060902,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,17,3.440983459,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,18,3.440510526,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,19,3.439745865,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,20,3.440575188,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,21,3.439544361,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,22,3.440322556,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,23,3.439949624,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,24,3.440618045,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,25,3.439419549,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,26,3.440318045,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,27,3.440453383,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,28,3.439515038,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,29,3.439957143,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,5,30,3.439730827,3.440061078,0.000181238,20000,1330000,20260901,"24 24 25 26 27"
table2c_dual_staggered_turnaround,4,6,1,3.645748120,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,2,3.646913534,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,3,3.646994737,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,4,3.645854887,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,5,3.645734586,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,6,3.645709023,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,7,3.646187218,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,8,3.644428571,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,9,3.645984211,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,10,3.646333835,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,11,3.647072180,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,12,3.646112030,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,13,3.646709774,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,14,3.645898496,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,15,3.645935338,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,16,3.645357143,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,17,3.647008271,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,18,3.646432331,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,19,3.645350376,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,20,3.647004511,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,21,3.645546617,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,22,3.645728571,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,23,3.646157895,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,24,3.645793985,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,25,3.645369925,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,26,3.646233835,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,27,3.646342105,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,28,3.645117293,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,29,3.646115789,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,6,30,3.645168421,3.646011454,0.000238222,20000,1330000,20260901,"24 24 25 26 27 28"
table2c_dual_staggered_turnaround,4,7,1,3.773391729,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,2,3.774636842,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,3,3.774706015,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,4,3.774409774,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,5,3.773246617,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,6,3.773237594,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,7,3.774308271,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,8,3.772126316,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,9,3.774447368,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,10,3.774148872,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,11,3.774794737,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,12,3.773588722,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,13,3.775038346,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,14,3.773076692,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,15,3.773647368,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,16,3.773216541,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,17,3.775010526,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,18,3.774483459,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,19,3.773191729,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,20,3.774889474,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,21,3.773457143,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,22,3.773081203,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,23,3.773881955,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,24,3.773559398,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,25,3.773626316,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,26,3.774657895,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,27,3.774369925,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,28,3.773196992,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,29,3.774084211,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,7,30,3.773033835,3.773884862,0.000275892,20000,1330000,20260901,"24 24 25 26 27 28 29"
table2c_dual_staggered_turnaround,4,8,1,3.848727820,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,2,3.849981955,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,3,3.850324812,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,4,3.850196241,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,5,3.849211278,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,6,3.848303008,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,7,3.849481203,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,8,3.847232331,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,9,3.849315038,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,10,3.849583459,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,11,3.849828571,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,12,3.848249624,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,13,3.850243609,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,14,3.848701504,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,15,3.848954887,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,16,3.848188722,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,17,3.850644361,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,18,3.850318797,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
table2c_dual_staggered_turnaround,4,8,19,3.848776692,3.849280877,0.000331006,20000,1330000,20260901,"24 24 25 26 27 28 29 30"
