n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,0,0|0|1|1|1|1|1|1|4|5,,1,15,9.835462,0.000274,15,9.835112,0.000426
15,10,15,0,0|0|0|1|1|1|1|2|4|5,,1,15,9.747918,0.000362,15,9.748008,0.000532
15,10,15,0,0|0|0|0|1|1|2|2|4|5,,1,15,9.580745,0.000719,15,9.580901,0.000479
15,10,15,0,0|0|0|0|0|2|2|2|4|5,,1,15,9.337914,0.000803,15,9.337781,0.000829
15,10,15,0,0|0|0|0|1|1|1|3|4|5,,1,15,9.564543,0.000400,15,9.564526,0.000508
15,10,15,0,0|0|0|0|0|1|2|3|4|5,,1,15,9.331733,0.000680,15,9.331829,0.000759
15,10,15,0,0|0|0|0|0|0|3|3|4|5,,1,15,9.019658,0.000934,15,9.020079,0.000912
15,10,15,0,0|0|0|0|0|1|1|4|4|5,,1,15,9.316238,0.000930,15,9.316378,0.000615
15,10,15,0,0|0|0|0|0|0|2|4|4|5,,1,15,9.019469,0.000972,15,9.020124,0.001020
15,10,15,0,0|0|0|1|1|1|1|1|5|5,,1,15,9.713909,0.000335,15,9.714097,0.000392
15,10,15,0,0|0|0|0|1|1|1|2|5|5,,1,15,9.562107,0.000609,15,9.562173,0.000314
15,10,15,0,0|0|0|0|0|1|2|2|5|5,,1,15,9.329736,0.000489,15,9.329849,0.000594
15,10,15,0,0|0|0|0|0|1|1|3|5|5,,1,15,9.316399,0.000964,15,9.316428,0.000725
15,10,15,0,0|0|0|0|0|0|2|3|5|5,,1,15,9.019493,0.000567,15,9.019567,0.000599
15,10,15,0,0|0|0|0|0|0|1|4|5|5,,1,15,9.008116,0.000777,15,9.007944,0.000824
15,10,15,0,0|0|0|0|0|0|0|5|5|5,,1,15,8.642320,0.000865,15,8.642301,0.000699
15,10,15,0,0|1|1|1|1|1|1|1|2|6,,1,15,9.887070,0.000304,15,9.887016,0.000315
15,10,15,0,0|0|1|1|1|1|1|2|2|6,,1,15,9.863138,0.000539,15,9.863264,0.000357
15,10,15,0,0|0|0|1|1|1|2|2|2|6,,1,15,9.761638,0.000502,15,9.761703,0.000341
15,10,15,0,0|0|0|0|1|2|2|2|2|6,,1,15,9.584475,0.000419,15,9.584946,0.000620
15,10,15,0,0|0|1|1|1|1|1|1|3|6,,1,15,9.834196,0.000339,15,9.834378,0.000306
15,10,15,0,0|0|0|1|1|1|1|2|3|6,,1,15,9.747049,0.000389,15,9.747176,0.000498
15,10,15,0,0|0|0|0|1|1|2|2|3|6,,1,15,9.580135,0.000521,15,9.580278,0.000440
15,10,15,0,0|0|0|0|0|2|2|2|3|6,,1,15,9.337149,0.000704,15,9.337131,0.000501
15,10,15,0,0|0|0|0|1|1|1|3|3|6,,1,15,9.563802,0.000353,15,9.563861,0.000511
15,10,15,0,0|0|0|0|0|1|2|3|3|6,,1,15,9.331334,0.000670,15,9.331422,0.000673
15,10,15,0,0|0|0|0|0|0|3|3|3|6,,1,15,9.019617,0.000789,15,9.019544,0.000917
15,10,15,0,0|0|0|1|1|1|1|1|4|6,,1,15,9.714048,0.000333,15,9.714251,0.000445
15,10,15,0,0|0|0|0|1|1|1|2|4|6,,1,15,9.562139,0.000614,15,9.562414,0.000504
15,10,15,0,0|0|0|0|0|1|2|2|4|6,,1,15,9.330147,0.000581,15,9.329528,0.000418
15,10,15,0,0|0|0|0|0|1|1|3|4|6,,1,15,9.316381,0.000637,15,9.316176,0.000771
15,10,15,0,0|0|0|0|0|0|2|3|4|6,,1,15,9.019686,0.000675,15,9.019449,0.000760
15,10,15,0,0|0|0|0|0|0|1|4|4|6,,1,15,9.008102,0.000801,15,9.008310,0.000606
15,10,15,0,0|0|0|0|1|1|1|1|5|6,,1,15,9.531728,0.000686,15,9.531776,0.000486
15,10,15,0,0|0|0|0|0|1|1|2|5|6,,1,15,9.314530,0.000717,15,9.314539,0.000549
15,10,15,0,0|0|0|0|0|0|2|2|5|6,,1,15,9.018343,0.000725,15,9.018132,0.001007
15,10,15,0,0|0|0|0|0|0|1|3|5|6,,1,15,9.008425,0.000936,15,9.008462,0.000910
15,10,15,0,0|0|0|0|0|0|0|4|5|6,,1,15,8.642072,0.001250,15,8.642265,0.000910
15,10,15,0,0|0|0|0|0|1|1|1|6|6,,1,15,9.288573,0.000753,15,9.288544,0.000580
15,10,15,0,0|0|0|0|0|0|1|2|6|6,,1,15,9.007485,0.000704,15,9.006602,0.000562
15,10,15,0,0|0|0|0|0|0|0|3|6|6,,1,15,8.642412,0.000723,15,8.642421,0.001132
15,10,15,0,0|1|1|1|1|1|1|1|1|7,,1,15,9.832090,0.000409,15,9.832288,0.000409
15,10,15,0,0|0|1|1|1|1|1|1|2|7,,1,15,9.827235,0.000306,15,9.827233,0.000361
15,10,15,0,0|0|0|1|1|1|1|2|2|7,,1,15,9.740648,0.000461,15,9.740167,0.000407
15,10,15,0,0|0|0|0|1|1|2|2|2|7,,1,15,9.574254,0.000578,15,9.574124,0.000512
15,10,15,0,0|0|0|0|0|2|2|2|2|7,,1,15,9.332620,0.000746,15,9.332709,0.000850
15,10,15,0,0|0|0|1|1|1|1|1|3|7,,1,15,9.713022,0.000481,15,9.713264,0.000345
15,10,15,0,0|0|0|0|1|1|1|2|3|7,,1,15,9.561375,0.000363,15,9.561401,0.000676
15,10,15,0,0|0|0|0|0|1|2|2|3|7,,1,15,9.329557,0.000657,15,9.329237,0.000505
15,10,15,0,0|0|0|0|0|1|1|3|3|7,,1,15,9.315591,0.000870,15,9.315619,0.000709
15,10,15,0,0|0|0|0|0|0|2|3|3|7,,1,15,9.019187,0.000765,15,9.019417,0.000739
15,10,15,0,0|0|0|0|1|1|1|1|4|7,,1,15,9.531647,0.000577,15,9.531856,0.000666
15,10,15,0,0|0|0|0|0|1|1|2|4|7,,1,15,9.314470,0.000734,15,9.314455,0.000673
15,10,15,0,0|0|0|0|0|0|2|2|4|7,,1,15,9.018354,0.000670,15,9.018355,0.000641
15,10,15,0,0|0|0|0|0|0|1|3|4|7,,1,15,9.008495,0.000693,15,9.008043,0.000886
15,10,15,0,0|0|0|0|0|0|0|4|4|7,,1,15,8.642153,0.001236,15,8.642493,0.001103
15,10,15,0,0|0|0|0|0|1|1|1|5|7,,1,15,9.289399,0.000763,15,9.288607,0.000621
15,10,15,0,0|0|0|0|0|0|1|2|5|7,,1,15,9.006856,0.000912,15,9.007224,0.000752
15,10,15,0,0|0|0|0|0|0|0|3|5|7,,1,15,8.641684,0.000673,15,8.641954,0.000835
15,10,15,0,0|0|0|0|0|0|1|1|6|7,,1,15,8.986269,0.000826,15,8.986287,0.001023
15,10,15,0,0|0|0|0|0|0|0|2|6|7,,1,15,8.641357,0.000717,15,8.641876,0.000965
15,10,15,0,0|0|0|0|0|0|0|1|7|7,,1,15,8.626383,0.001036,15,8.626514,0.000592
15,10,15,0,0|0|1|1|1|1|1|1|1|8,,1,15,9.774131,0.000447,15,9.773980,0.000369
15,10,15,0,0|0|0|1|1|1|1|1|2|8,,1,15,9.706933,0.000381,15,9.706734,0.000383
15,10,15,0,0|0|0|0|1|1|1|2|2|8,,1,15,9.555595,0.000518,15,9.555337,0.000547
15,10,15,0,0|0|0|0|0|1|2|2|2|8,,1,15,9.324699,0.000664,15,9.324808,0.000668
15,10,15,0,0|0|0|0|1|1|1|1|3|8,,1,15,9.530914,0.000786,15,9.530834,0.000547
15,10,15,0,0|0|0|0|0|1|1|2|3|8,,1,15,9.314062,0.000875,15,9.314372,0.000610
15,10,15,0,0|0|0|0|0|0|2|2|3|8,,1,15,9.017879,0.000653,15,9.018065,0.000764
