n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|2|2|2|4,1,15,14.132905,0.001716,15,14.133629,0.002072
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|2|2|2|2|4,1,15,14.056357,0.001236,15,14.057111,0.001337
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|2|2|2|2|2|4,1,15,13.927814,0.001089,15,13.927552,0.001709
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|1|3|4,1,15,14.143514,0.001680,15,14.143667,0.001414
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|2|3|4,1,15,14.133589,0.001686,15,14.134234,0.001847
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|2|2|3|4,1,15,14.070544,0.001186,15,14.070254,0.000895
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|2|2|2|3|4,1,15,13.948927,0.000740,15,13.949536,0.001419
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|2|2|2|2|3|4,1,15,13.756801,0.000850,15,13.756074,0.001058
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|3|3|4,1,15,14.049118,0.001326,15,14.049426,0.001198
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|2|3|3|4,1,15,13.941918,0.001483,15,13.941469,0.001503
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|2|2|3|3|4,1,15,13.757309,0.000970,15,13.757200,0.000524
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|3|3|3|4,1,15,13.742391,0.000947,15,13.742366,0.001255
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|3|3|3|4,1,15,13.479469,0.001215,15,13.479835,0.001222
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|1|4|4,1,15,14.090952,0.001457,15,14.091117,0.000948
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|2|4|4,1,15,14.049986,0.000954,15,14.050674,0.001069
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|2|2|4|4,1,15,13.941874,0.001465,15,13.942222,0.001272
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|2|2|2|4|4,1,15,13.756744,0.001082,15,13.756652,0.001236
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|3|4|4,1,15,13.918696,0.001080,15,13.918321,0.000897
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|2|3|4|4,1,15,13.748591,0.001446,15,13.748434,0.000805
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|2|3|4|4,1,15,13.483810,0.000943,15,13.484352,0.000995
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|3|3|4|4,1,15,13.469985,0.000977,15,13.469315,0.001227
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|4|4|4,1,15,13.715446,0.000704,15,13.714822,0.000874
