n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|1|2|9,1,15,13.651113,0.000725,15,13.651168,0.000619
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|2|2|9,1,15,13.425510,0.001026,15,13.425007,0.000668
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|2|2|9,1,15,13.090620,0.001078,15,13.090812,0.001145
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|3|9,1,15,13.391562,0.000984,15,13.391880,0.001343
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|2|3|9,1,15,13.082831,0.000933,15,13.083033,0.000909
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|3|3|9,1,15,12.650014,0.000857,15,12.650155,0.001208
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|4|9,1,15,13.036661,0.001068,15,13.036572,0.001032
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|2|4|9,1,15,12.648793,0.000848,15,12.648126,0.000935
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|5|9,1,15,12.609949,0.000900,15,12.610273,0.001232
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|6|9,1,15,12.122762,0.001608,15,12.123634,0.000846
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|1|1|10,1,15,13.540417,0.000762,15,13.541029,0.000965
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|2|10,1,15,13.367565,0.001156,15,13.367071,0.001112
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|2|2|10,1,15,13.064230,0.000989,15,13.064276,0.000906
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|3|10,1,15,13.032834,0.000909,15,13.032799,0.000833
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|2|3|10,1,15,12.646199,0.000673,15,12.646483,0.001023
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|4|10,1,15,12.610554,0.001104,15,12.609941,0.000915
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|5|10,1,15,12.123196,0.001060,15,12.122959,0.001466
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|1|11,1,15,13.267670,0.000863,15,13.267541,0.001131
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|2|11,1,15,13.015696,0.001278,15,13.015288,0.001382
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|2|2|11,1,15,12.634345,0.001141,15,12.635147,0.000880
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|3|11,1,15,12.608219,0.001510,15,12.608418,0.001180
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|4|11,1,15,12.122974,0.001007,15,12.123198,0.001228
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|1|12,1,15,12.931183,0.000994,15,12.931271,0.000965
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|2|12,1,15,12.597633,0.001394,15,12.598269,0.001244
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|3|12,1,15,12.122596,0.000955,15,12.122636,0.001193
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|1|13,1,15,12.532068,0.001060,15,12.531995,0.001210
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|2|13,1,15,12.116934,0.001260,15,12.117129,0.001574
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|1|14,1,15,12.068120,0.001296,15,12.068284,0.001573
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|15,1,15,11.544342,0.001475,15,11.544490,0.001355
