n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|3|4|4|4,1,15,9.665172,0.000475,15,9.665047,0.000353
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|2|2|5,1,15,9.986929,0.000093,15,9.986863,0.000130
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|2|2|2|5,1,15,9.984272,0.000075,15,9.984296,0.000101
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|2|2|2|2|5,1,15,9.958855,0.000116,15,9.958710,0.000248
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|2|2|2|2|2|5,1,15,9.901807,0.000217,15,9.901854,0.000290
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|1|3|5,1,15,9.977257,0.000137,15,9.977274,0.000114
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|2|3|5,1,15,9.980152,0.000142,15,9.980186,0.000160
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|2|2|3|5,1,15,9.957774,0.000207,15,9.957793,0.000139
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|2|2|2|3|5,1,15,9.902611,0.000270,15,9.902504,0.000306
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|3|3|5,1,15,9.952764,0.000170,15,9.952780,0.000183
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|2|3|3|5,1,15,9.900859,0.000343,15,9.900663,0.000267
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|2|2|3|3|5,1,15,9.807122,0.000418,15,9.807112,0.000349
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|3|3|3|5,1,15,9.805273,0.000348,15,9.805551,0.000359
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|4|5,1,15,9.969144,0.000184,15,9.969067,0.000146
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|2|4|5,1,15,9.952366,0.000180,15,9.952299,0.000193
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|2|2|4|5,1,15,9.900365,0.000354,15,9.900302,0.000280
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|2|2|2|4|5,1,15,9.806812,0.000370,15,9.806810,0.000391
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|3|4|5,1,15,9.895686,0.000266,15,9.895550,0.000223
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|3|4|5,1,15,9.805149,0.000324,15,9.805278,0.000529
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|3|3|4|5,1,15,9.665012,0.000461,15,9.665355,0.000256
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|4|4|5,1,15,9.800927,0.000347,15,9.800881,0.000385
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|4|4|5,1,15,9.665053,0.000282,15,9.665103,0.000450
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|5|5,1,15,9.941379,0.000198,15,9.941386,0.000150
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|2|5|5,1,15,9.895232,0.000255,15,9.895208,0.000260
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|2|5|5,1,15,9.805056,0.000288,15,9.805028,0.000421
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|3|5|5,1,15,9.800853,0.000226,15,9.800919,0.000432
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|3|5|5,1,15,9.665040,0.000390,15,9.665029,0.000334
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|4|5|5,1,15,9.661332,0.000443,15,9.661355,0.000463
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|5|5|5,1,15,9.471441,0.000496,15,9.471597,0.000662
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|1|2|6,1,15,9.975659,0.000103,15,9.975660,0.000125
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|2|2|6,1,15,9.978518,0.000133,15,9.978551,0.000110
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|2|2|2|6,1,15,9.956225,0.000158,15,9.956230,0.000208
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|2|2|2|2|6,1,15,9.901167,0.000246,15,9.900921,0.000247
