n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,2,1,0|0|0|0,0|0|1|1,1,15,3.538475,0.000636,15,3.538761,0.000410
4,4,2,1,0|0|0|0,0|0|0|2,1,15,3.479860,0.000469,15,3.479290,0.000546
