n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,10,1,0|0|0|0|0,0|2|2|3|3,1,15,3.908256,0.001277,15,3.908277,0.001355
4,5,10,1,0|0|0|0|0,0|1|3|3|3,1,15,3.908581,0.001121,15,3.908622,0.001406
4,5,10,1,0|0|0|0|0,0|2|2|2|4,1,15,3.907512,0.001505,15,3.907576,0.001678
4,5,10,1,0|0|0|0|0,0|1|2|3|4,1,15,3.911595,0.001332,15,3.911941,0.001437
4,5,10,1,0|0|0|0|0,0|0|3|3|4,1,15,3.906352,0.001190,15,3.905782,0.001322
4,5,10,1,0|0|0|0|0,0|1|1|4|4,1,15,3.911893,0.001213,15,3.911773,0.001170
4,5,10,1,0|0|0|0|0,0|0|2|4|4,1,15,3.909018,0.000877,15,3.908903,0.001703
4,5,10,1,0|0|0|0|0,0|1|2|2|5,1,15,3.910894,0.001400,15,3.910543,0.001416
4,5,10,1,0|0|0|0|0,0|1|1|3|5,1,15,3.912454,0.001398,15,3.912105,0.001621
4,5,10,1,0|0|0|0|0,0|0|2|3|5,1,15,3.909669,0.001139,15,3.909417,0.001529
4,5,10,1,0|0|0|0|0,0|0|1|4|5,1,15,3.910219,0.001330,15,3.909545,0.000957
4,5,10,1,0|0|0|0|0,0|0|0|5|5,1,15,3.892116,0.001510,15,3.892040,0.000734
4,5,10,1,0|0|0|0|0,0|1|1|2|6,1,15,3.911672,0.001451,15,3.911492,0.001068
4,5,10,1,0|0|0|0|0,0|0|2|2|6,1,15,3.908287,0.001263,15,3.908774,0.001140
4,5,10,1,0|0|0|0|0,0|0|1|3|6,1,15,3.909669,0.001872,15,3.910404,0.001553
4,5,10,1,0|0|0|0|0,0|0|0|4|6,1,15,3.894479,0.000943,15,3.894859,0.001676
4,5,10,1,0|0|0|0|0,0|1|1|1|7,1,15,3.906502,0.001478,15,3.906665,0.001409
4,5,10,1,0|0|0|0|0,0|0|1|2|7,1,15,3.909395,0.000999,15,3.908575,0.001227
4,5,10,1,0|0|0|0|0,0|0|0|3|7,1,15,3.896764,0.001261,15,3.896757,0.001166
4,5,10,1,0|0|0|0|0,0|0|1|1|8,1,15,3.904893,0.001252,15,3.904521,0.001219
4,5,10,1,0|0|0|0|0,0|0|0|2|8,1,15,3.896915,0.001112,15,3.896645,0.001145
4,5,10,1,0|0|0|0|0,0|0|0|1|9,1,15,3.892204,0.001424,15,3.891916,0.001449
4,5,10,1,0|0|0|0|0,0|0|0|0|10,1,15,3.852077,0.001318,15,3.851877,0.001625
