n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,6,0,0|1|1|2|2,,1,15,3.844050,0.000735,15,3.844286,0.001116
4,5,6,0,0|0|2|2|2,,1,15,3.827399,0.000838,15,3.827295,0.000943
4,5,6,0,0|1|1|1|3,,1,15,3.847025,0.001000,15,3.846972,0.001300
4,5,6,0,0|0|1|2|3,,1,15,3.851190,0.000836,15,3.851170,0.001037
4,5,6,0,0|0|0|3|3,,1,15,3.798452,0.001032,15,3.798569,0.000821
4,5,6,0,0|0|1|1|4,,1,15,3.848581,0.001127,15,3.848729,0.001278
4,5,6,0,0|0|0|2|4,,1,15,3.817527,0.001036,15,3.817440,0.000926
4,5,6,0,0|0|0|1|5,,1,15,3.810648,0.000979,15,3.811054,0.000851
4,5,6,0,0|0|0|0|6,,1,15,3.597449,0.000979,15,3.597742,0.000927
