n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,2,0,0|0|1|1,,1,15,3.316078,0.000731,15,3.315886,0.000603
4,4,2,0,0|0|0|2,,1,15,3.194906,0.000539,15,3.194805,0.000568
