n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,5,0,0|2|3,,1,15,2.972965,0.000228,15,2.973111,0.000172
4,3,5,0,0|1|4,,1,15,2.967134,0.000172,15,2.967176,0.000158
4,3,5,0,0|0|5,,1,15,2.749622,0.000407,15,2.749645,0.000421
