n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,3,1,0|0|0|0,0|1|1|1,1,15,3.584100,0.000739,15,3.584131,0.000659
4,4,3,1,0|0|0|0,0|0|1|2,1,15,3.632425,0.000688,15,3.632518,0.000587
4,4,3,1,0|0|0|0,0|0|0|3,1,15,3.519292,0.000715,15,3.519036,0.000738
