n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,8,1,0|0|0|0|0,0|2|2|2|2,1,15,3.896544,0.001479,15,3.897073,0.000872
4,5,8,1,0|0|0|0|0,0|1|2|2|3,1,15,3.903417,0.001225,15,3.903038,0.001587
4,5,8,1,0|0|0|0|0,0|1|1|3|3,1,15,3.904851,0.001628,15,3.905317,0.001550
4,5,8,1,0|0|0|0|0,0|0|2|3|3,1,15,3.901001,0.001510,15,3.901761,0.001156
4,5,8,1,0|0|0|0|0,0|1|1|2|4,1,15,3.904866,0.001144,15,3.904351,0.000976
4,5,8,1,0|0|0|0|0,0|0|2|2|4,1,15,3.901885,0.001613,15,3.901127,0.000952
4,5,8,1,0|0|0|0|0,0|0|1|3|4,1,15,3.903728,0.001029,15,3.903717,0.001235
4,5,8,1,0|0|0|0|0,0|0|0|4|4,1,15,3.885646,0.001518,15,3.884961,0.001069
4,5,8,1,0|0|0|0|0,0|1|1|1|5,1,15,3.900346,0.001608,15,3.900520,0.001279
4,5,8,1,0|0|0|0|0,0|0|1|2|5,1,15,3.903060,0.001584,15,3.902828,0.001281
4,5,8,1,0|0|0|0|0,0|0|0|3|5,1,15,3.888545,0.001211,15,3.888640,0.000949
4,5,8,1,0|0|0|0|0,0|0|1|1|6,1,15,3.898310,0.001609,15,3.898482,0.001463
4,5,8,1,0|0|0|0|0,0|0|0|2|6,1,15,3.889365,0.001086,15,3.890237,0.000942
4,5,8,1,0|0|0|0|0,0|0|0|1|7,1,15,3.884770,0.001552,15,3.885229,0.001291
4,5,8,1,0|0|0|0|0,0|0|0|0|8,1,15,3.839719,0.001370,15,3.840364,0.001480
