n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,10,0,0|3|3|4,,1,15,3.723474,0.000699,15,3.723578,0.000761
4,4,10,0,0|2|4|4,,1,15,3.726940,0.000991,15,3.727337,0.000997
4,4,10,0,0|2|3|5,,1,15,3.750765,0.000821,15,3.750679,0.001084
4,4,10,0,0|1|4|5,,1,15,3.747773,0.000757,15,3.748120,0.000863
4,4,10,0,0|0|5|5,,1,15,3.644824,0.000628,15,3.644712,0.000583
4,4,10,0,0|2|2|6,,1,15,3.759420,0.000962,15,3.759418,0.000945
4,4,10,0,0|1|3|6,,1,15,3.764285,0.000877,15,3.764322,0.001030
4,4,10,0,0|0|4|6,,1,15,3.663836,0.000871,15,3.663962,0.000786
4,4,10,0,0|1|2|7,,1,15,3.768869,0.000906,15,3.769031,0.000721
4,4,10,0,0|0|3|7,,1,15,3.676412,0.000654,15,3.676144,0.000810
4,4,10,0,0|1|1|8,,1,15,3.741354,0.001067,15,3.741679,0.001235
4,4,10,0,0|0|2|8,,1,15,3.677548,0.000784,15,3.677376,0.000611
4,4,10,0,0|0|1|9,,1,15,3.632822,0.000453,15,3.632976,0.000370
4,4,10,0,0|0|0|10,,1,15,3.269285,0.000530,15,3.268971,0.000656
