n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,9,0,0|2|2|2|3,,1,15,3.881416,0.001019,15,3.881884,0.000898
4,5,9,0,0|1|2|3|3,,1,15,3.892607,0.001228,15,3.892467,0.001517
4,5,9,0,0|0|3|3|3,,1,15,3.875106,0.000827,15,3.874756,0.000849
4,5,9,0,0|1|2|2|4,,1,15,3.892930,0.001044,15,3.892535,0.001148
4,5,9,0,0|1|1|3|4,,1,15,3.895767,0.001057,15,3.894799,0.001340
4,5,9,0,0|0|2|3|4,,1,15,3.886217,0.001257,15,3.885885,0.001120
4,5,9,0,0|0|1|4|4,,1,15,3.885435,0.000878,15,3.885536,0.001020
4,5,9,0,0|1|1|2|5,,1,15,3.894109,0.001035,15,3.894135,0.001287
4,5,9,0,0|0|2|2|5,,1,15,3.885343,0.001079,15,3.885645,0.001238
4,5,9,0,0|0|1|3|5,,1,15,3.888639,0.000993,15,3.888801,0.001763
4,5,9,0,0|0|0|4|5,,1,15,3.844716,0.001260,15,3.845312,0.000994
4,5,9,0,0|1|1|1|6,,1,15,3.886743,0.001128,15,3.886431,0.001044
4,5,9,0,0|0|1|2|6,,1,15,3.887583,0.001534,15,3.886633,0.001155
4,5,9,0,0|0|0|3|6,,1,15,3.853256,0.001123,15,3.853246,0.001116
4,5,9,0,0|0|1|1|7,,1,15,3.877647,0.001565,15,3.877932,0.001404
4,5,9,0,0|0|0|2|7,,1,15,3.855270,0.001542,15,3.855031,0.001259
4,5,9,0,0|0|0|1|8,,1,15,3.841470,0.001457,15,3.841664,0.001205
4,5,9,0,0|0|0|0|9,,1,15,3.612404,0.000696,15,3.612017,0.000693
