n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,3,1,0|0|0,0|1|2,1,15,2.974654,0.000163,15,2.974698,0.000169
4,3,3,1,0|0|0,0|0|3,1,15,2.887216,0.000274,15,2.886962,0.000230
