n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,3,0,0|1|2,,1,15,2.921054,0.000369,15,2.921101,0.000294
4,3,3,0,0|0|3,,1,15,2.744412,0.000297,15,2.744209,0.000395
