n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,6,0,0|3|3,,1,15,2.974801,0.000264,15,2.974756,0.000220
4,3,6,0,0|2|4,,1,15,2.987065,0.000156,15,2.987118,0.000159
4,3,6,0,0|1|5,,1,15,2.971895,0.000167,15,2.971837,0.000174
4,3,6,0,0|0|6,,1,15,2.749861,0.000402,15,2.749892,0.000244
