n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,8,1,0|0|0,0|4|4,1,15,2.997667,0.000059,15,2.997671,0.000094
4,3,8,1,0|0|0,0|3|5,1,15,2.999089,0.000030,15,2.999090,0.000039
4,3,8,1,0|0|0,0|2|6,1,15,2.999355,0.000037,15,2.999368,0.000031
4,3,8,1,0|0|0,0|1|7,1,15,2.994481,0.000054,15,2.994487,0.000063
4,3,8,1,0|0|0,0|0|8,1,15,2.889797,0.000154,15,2.889948,0.000260
