n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,5,1,0|0|0,0|2|3,1,15,2.993124,0.000077,15,2.993106,0.000067
4,3,5,1,0|0|0,0|1|4,1,15,2.992518,0.000120,15,2.992503,0.000085
4,3,5,1,0|0|0,0|0|5,1,15,2.889764,0.000251,15,2.889714,0.000252
