n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,7,1,0|0|0|0|0,0|1|2|2|2,1,15,3.896323,0.001636,15,3.896431,0.000939
4,5,7,1,0|0|0|0|0,0|1|1|2|3,1,15,3.900983,0.001266,15,3.900185,0.001466
4,5,7,1,0|0|0|0|0,0|0|2|2|3,1,15,3.896961,0.001193,15,3.897170,0.001121
4,5,7,1,0|0|0|0|0,0|0|1|3|3,1,15,3.899199,0.001646,15,3.899062,0.001655
4,5,7,1,0|0|0|0|0,0|1|1|1|4,1,15,3.896115,0.001031,15,3.895431,0.001401
4,5,7,1,0|0|0|0|0,0|0|1|2|4,1,15,3.898876,0.001335,15,3.899657,0.001238
4,5,7,1,0|0|0|0|0,0|0|0|3|4,1,15,3.884266,0.001137,15,3.884223,0.001050
4,5,7,1,0|0|0|0|0,0|0|1|1|5,1,15,3.894968,0.001531,15,3.894110,0.001122
4,5,7,1,0|0|0|0|0,0|0|0|2|5,1,15,3.885263,0.000855,15,3.885374,0.001179
4,5,7,1,0|0|0|0|0,0|0|0|1|6,1,15,3.880279,0.001004,15,3.880398,0.000949
4,5,7,1,0|0|0|0|0,0|0|0|0|7,1,15,3.833489,0.001211,15,3.833529,0.000943
