n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,10,1,0|0|0|0,0|3|3|4,1,15,3.762276,0.000836,15,3.762311,0.000745
4,4,10,1,0|0|0|0,0|2|4|4,1,15,3.762832,0.001064,15,3.762625,0.000960
4,4,10,1,0|0|0|0,0|2|3|5,1,15,3.777639,0.000738,15,3.777867,0.000996
4,4,10,1,0|0|0|0,0|1|4|5,1,15,3.777821,0.000799,15,3.777992,0.001130
4,4,10,1,0|0|0|0,0|0|5|5,1,15,3.740079,0.000928,15,3.740253,0.000931
4,4,10,1,0|0|0|0,0|2|2|6,1,15,3.787071,0.000922,15,3.786744,0.001060
4,4,10,1,0|0|0|0,0|1|3|6,1,15,3.789246,0.000669,15,3.789448,0.001099
4,4,10,1,0|0|0|0,0|0|4|6,1,15,3.753620,0.001001,15,3.753845,0.000793
4,4,10,1,0|0|0|0,0|1|2|7,1,15,3.796435,0.001222,15,3.796596,0.000870
4,4,10,1,0|0|0|0,0|0|3|7,1,15,3.764690,0.000910,15,3.764563,0.000830
4,4,10,1,0|0|0|0,0|1|1|8,1,15,3.791144,0.000886,15,3.791252,0.001122
4,4,10,1,0|0|0|0,0|0|2|8,1,15,3.772014,0.001183,15,3.771671,0.000956
4,4,10,1,0|0|0|0,0|0|1|9,1,15,3.762594,0.000652,15,3.763211,0.000599
4,4,10,1,0|0|0|0,0|0|0|10,1,15,3.569031,0.000438,15,3.569135,0.000530
