n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,8,0,0|4|4,,1,15,2.989244,0.000120,15,2.989260,0.000145
4,3,8,0,0|3|5,,1,15,2.995101,0.000087,15,2.995060,0.000100
4,3,8,0,0|2|6,,1,15,2.995455,0.000087,15,2.995395,0.000094
4,3,8,0,0|1|7,,1,15,2.974433,0.000127,15,2.974394,0.000090
4,3,8,0,0|0|8,,1,15,2.749913,0.000262,15,2.749874,0.000319
