n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,2,1,0|0|0,0|1|1,1,15,2.921986,0.000243,15,2.921980,0.000282
4,3,2,1,0|0|0,0|0|2,1,15,2.878390,0.000259,15,2.878123,0.000220
