n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,3,0,0|1|1|1,,1,15,3.415096,0.000591,15,3.415460,0.000729
4,4,3,0,0|0|1|2,,1,15,3.452430,0.000561,15,3.452326,0.000444
4,4,3,0,0|0|0|3,,1,15,3.239054,0.000928,15,3.238971,0.000608
