n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,7,0,0|3|4,,1,15,2.989010,0.000146,15,2.989124,0.000127
4,3,7,0,0|2|5,,1,15,2.992933,0.000141,15,2.992918,0.000101
4,3,7,0,0|1|6,,1,15,2.973684,0.000137,15,2.973616,0.000149
4,3,7,0,0|0|7,,1,15,2.749940,0.000405,15,2.749966,0.000243
