n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,2,0,0|0|0|1|1,,1,15,3.565722,0.000890,15,3.565662,0.001031
4,5,2,0,0|0|0|0|2,,1,15,3.467799,0.000512,15,3.468034,0.000592
