n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,7,0,0|2|2|3,,1,15,3.666806,0.000763,15,3.667162,0.000783
4,4,7,0,0|1|3|3,,1,15,3.674080,0.000739,15,3.673654,0.000842
4,4,7,0,0|1|2|4,,1,15,3.704634,0.000888,15,3.704858,0.000932
4,4,7,0,0|0|3|4,,1,15,3.614363,0.000682,15,3.613960,0.000798
4,4,7,0,0|1|1|5,,1,15,3.695638,0.000690,15,3.695337,0.000726
4,4,7,0,0|0|2|5,,1,15,3.634417,0.000420,15,3.634460,0.000400
4,4,7,0,0|0|1|6,,1,15,3.608138,0.000578,15,3.607722,0.000693
4,4,7,0,0|0|0|7,,1,15,3.267907,0.000651,15,3.268018,0.000482
