n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,9,1,0|0|0|0,0|3|3|3,1,15,3.739210,0.000787,15,3.739329,0.000919
4,4,9,1,0|0|0|0,0|2|3|4,1,15,3.762160,0.001025,15,3.761404,0.000973
4,4,9,1,0|0|0|0,0|1|4|4,1,15,3.761581,0.001053,15,3.762153,0.000843
4,4,9,1,0|0|0|0,0|2|2|5,1,15,3.774754,0.000787,15,3.774581,0.000891
4,4,9,1,0|0|0|0,0|1|3|5,1,15,3.776617,0.001004,15,3.776346,0.001032
4,4,9,1,0|0|0|0,0|0|4|5,1,15,3.739903,0.001093,15,3.739738,0.000702
4,4,9,1,0|0|0|0,0|1|2|6,1,15,3.786157,0.001013,15,3.785884,0.001517
4,4,9,1,0|0|0|0,0|0|3|6,1,15,3.752941,0.001053,15,3.752945,0.000925
4,4,9,1,0|0|0|0,0|1|1|7,1,15,3.781554,0.000866,15,3.781724,0.000640
4,4,9,1,0|0|0|0,0|0|2|7,1,15,3.761584,0.001240,15,3.761368,0.000868
4,4,9,1,0|0|0|0,0|0|1|8,1,15,3.754309,0.000857,15,3.754173,0.000968
4,4,9,1,0|0|0|0,0|0|0|9,1,15,3.567305,0.000601,15,3.567497,0.000498
