n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,2,1,0|0|0|0|0,0|0|0|1|1,1,15,3.792451,0.000569,15,3.792699,0.000548
4,5,2,1,0|0|0|0|0,0|0|0|0|2,1,15,3.749840,0.000915,15,3.749901,0.000734
