n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,6,1,0|0|0|0|0,0|1|1|2|2,1,15,3.892881,0.001311,15,3.893390,0.001378
4,5,6,1,0|0|0|0|0,0|0|2|2|2,1,15,3.888572,0.001056,15,3.888224,0.001015
4,5,6,1,0|0|0|0|0,0|1|1|1|3,1,15,3.890571,0.001289,15,3.890822,0.001055
4,5,6,1,0|0|0|0|0,0|0|1|2|3,1,15,3.894338,0.001417,15,3.894275,0.001677
4,5,6,1,0|0|0|0|0,0|0|0|3|3,1,15,3.876616,0.000916,15,3.876562,0.001434
4,5,6,1,0|0|0|0|0,0|0|1|1|4,1,15,3.889813,0.001489,15,3.890203,0.001402
4,5,6,1,0|0|0|0|0,0|0|0|2|4,1,15,3.879328,0.001092,15,3.879820,0.001273
4,5,6,1,0|0|0|0|0,0|0|0|1|5,1,15,3.875731,0.001864,15,3.875122,0.001194
4,5,6,1,0|0|0|0|0,0|0|0|0|6,1,15,3.825752,0.000533,15,3.825637,0.000960
