n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,10,0,0|5|5,,1,15,2.995315,0.000054,15,2.995286,0.000125
4,3,10,0,0|4|6,,1,15,2.997913,0.000059,15,2.997915,0.000042
4,3,10,0,0|3|7,,1,15,2.998795,0.000041,15,2.998799,0.000043
4,3,10,0,0|2|8,,1,15,2.996928,0.000061,15,2.996893,0.000052
4,3,10,0,0|1|9,,1,15,2.974855,0.000156,15,2.974770,0.000102
4,3,10,0,0|0|10,,1,15,2.749922,0.000309,15,2.750037,0.000345
