n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,7,1,0|0|0|0,0|2|2|3,1,15,3.735123,0.000728,15,3.734917,0.001134
4,4,7,1,0|0|0|0,0|1|3|3,1,15,3.737341,0.000982,15,3.737568,0.000682
4,4,7,1,0|0|0|0,0|1|2|4,1,15,3.756865,0.000989,15,3.756739,0.000713
4,4,7,1,0|0|0|0,0|0|3|4,1,15,3.722212,0.000817,15,3.721849,0.000819
4,4,7,1,0|0|0|0,0|1|1|5,1,15,3.757534,0.000933,15,3.757415,0.000792
4,4,7,1,0|0|0|0,0|0|2|5,1,15,3.736967,0.000713,15,3.736367,0.000642
4,4,7,1,0|0|0|0,0|0|1|6,1,15,3.733627,0.001122,15,3.733342,0.001120
4,4,7,1,0|0|0|0,0|0|0|7,1,15,3.561977,0.000681,15,3.562051,0.000473
