n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,6,0,0|2|2|2,,1,15,3.598011,0.000714,15,3.598364,0.000549
4,4,6,0,0|1|2|3,,1,15,3.660287,0.000632,15,3.660118,0.000663
4,4,6,0,0|0|3|3,,1,15,3.571102,0.000616,15,3.571347,0.000763
4,4,6,0,0|1|1|4,,1,15,3.666562,0.000763,15,3.666616,0.000845
4,4,6,0,0|0|2|4,,1,15,3.606607,0.000890,15,3.606431,0.000674
4,4,6,0,0|0|1|5,,1,15,3.591584,0.000523,15,3.591914,0.000603
4,4,6,0,0|0|0|6,,1,15,3.266923,0.000608,15,3.266800,0.000809
