n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,8,0,0|2|2|2|2,,1,15,3.858709,0.001014,15,3.858699,0.000992
4,5,8,0,0|1|2|2|3,,1,15,3.880168,0.001197,15,3.879903,0.001215
4,5,8,0,0|1|1|3|3,,1,15,3.885600,0.000834,15,3.885133,0.001358
4,5,8,0,0|0|2|3|3,,1,15,3.873617,0.000880,15,3.873106,0.001144
4,5,8,0,0|1|1|2|4,,1,15,3.886179,0.001051,15,3.885506,0.001337
4,5,8,0,0|0|2|2|4,,1,15,3.876133,0.000968,15,3.876075,0.001054
4,5,8,0,0|0|1|3|4,,1,15,3.879734,0.001536,15,3.879940,0.001399
4,5,8,0,0|0|0|4|4,,1,15,3.829131,0.001125,15,3.829743,0.001021
4,5,8,0,0|1|1|1|5,,1,15,3.879366,0.001228,15,3.879720,0.001081
4,5,8,0,0|0|1|2|5,,1,15,3.880384,0.001492,15,3.880646,0.001526
4,5,8,0,0|0|0|3|5,,1,15,3.842593,0.001031,15,3.842615,0.001051
4,5,8,0,0|0|1|1|6,,1,15,3.871419,0.001706,15,3.871318,0.001691
4,5,8,0,0|0|0|2|6,,1,15,3.846815,0.001287,15,3.846472,0.001081
4,5,8,0,0|0|0|1|7,,1,15,3.833735,0.001430,15,3.834405,0.001263
4,5,8,0,0|0|0|0|8,,1,15,3.608956,0.001119,15,3.609251,0.000859
