n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,5,1,0|0|0|0,0|1|2|2,1,15,3.693438,0.000755,15,3.693464,0.000884
4,4,5,1,0|0|0|0,0|1|1|3,1,15,3.716320,0.000700,15,3.716440,0.000971
4,4,5,1,0|0|0|0,0|0|2|3,1,15,3.693739,0.000642,15,3.694021,0.000850
4,4,5,1,0|0|0|0,0|0|1|4,1,15,3.702476,0.001090,15,3.702430,0.000715
4,4,5,1,0|0|0|0,0|0|0|5,1,15,3.549918,0.000455,15,3.549918,0.000719
