n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,9,0,0|3|3|3,,1,15,3.681704,0.000710,15,3.681685,0.000506
4,4,9,0,0|2|3|4,,1,15,3.722561,0.000636,15,3.722312,0.000346
4,4,9,0,0|1|4|4,,1,15,3.720616,0.000852,15,3.720621,0.000741
4,4,9,0,0|2|2|5,,1,15,3.739954,0.000852,15,3.739850,0.000896
4,4,9,0,0|1|3|5,,1,15,3.744616,0.001004,15,3.744137,0.001086
4,4,9,0,0|0|4|5,,1,15,3.644087,0.000930,15,3.644217,0.000551
4,4,9,0,0|1|2|6,,1,15,3.753965,0.000713,15,3.754252,0.001097
4,4,9,0,0|0|3|6,,1,15,3.661690,0.000675,15,3.661693,0.000637
4,4,9,0,0|1|1|7,,1,15,3.729731,0.000878,15,3.730334,0.000897
4,4,9,0,0|0|2|7,,1,15,3.667301,0.000648,15,3.667066,0.000626
4,4,9,0,0|0|1|8,,1,15,3.626808,0.000770,15,3.626807,0.000777
4,4,9,0,0|0|0|9,,1,15,3.269184,0.000521,15,3.268710,0.000569
