n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,5,1,0|0|0|0|0,0|1|1|1|2,1,15,3.880610,0.000972,15,3.880863,0.001194
4,5,5,1,0|0|0|0|0,0|0|1|2|2,1,15,3.885334,0.000963,15,3.884995,0.001302
4,5,5,1,0|0|0|0|0,0|0|1|1|3,1,15,3.883812,0.001452,15,3.883721,0.001583
4,5,5,1,0|0|0|0|0,0|0|0|2|3,1,15,3.871926,0.001494,15,3.872183,0.001215
4,5,5,1,0|0|0|0|0,0|0|0|1|4,1,15,3.868829,0.000748,15,3.868818,0.001545
4,5,5,1,0|0|0|0|0,0|0|0|0|5,1,15,3.816580,0.000916,15,3.816289,0.000918
