n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,6,1,0|0|0|0,0|2|2|2,1,15,3.694807,0.000702,15,3.694975,0.000673
4,4,6,1,0|0|0|0,0|1|2|3,1,15,3.733913,0.000901,15,3.733568,0.000771
4,4,6,1,0|0|0|0,0|0|3|3,1,15,3.696989,0.000774,15,3.696883,0.000860
4,4,6,1,0|0|0|0,0|1|1|4,1,15,3.740935,0.000711,15,3.740706,0.001001
4,4,6,1,0|0|0|0,0|0|2|4,1,15,3.718916,0.000762,15,3.719065,0.000676
4,4,6,1,0|0|0|0,0|0|1|5,1,15,3.719948,0.000951,15,3.719963,0.000795
4,4,6,1,0|0|0|0,0|0|0|6,1,15,3.557284,0.000528,15,3.557127,0.000499
