n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,4,0,0|2|2,,1,15,2.937403,0.000303,15,2.937555,0.000277
4,3,4,0,0|1|3,,1,15,2.954702,0.000188,15,2.954728,0.000197
4,3,4,0,0|0|4,,1,15,2.748536,0.000395,15,2.748541,0.000406
