n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,3,2,0,0|1|1,,1,15,2.824284,0.000459,15,2.824358,0.000463
4,3,2,0,0|0|2,,1,15,2.727055,0.000288,15,2.726961,0.000400
