n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,7,0,0|1|2|2|2,,1,15,3.857149,0.001205,15,3.856980,0.001117
4,5,7,0,0|1|1|2|3,,1,15,3.871583,0.000931,15,3.871562,0.000780
4,5,7,0,0|0|2|2|3,,1,15,3.859451,0.001251,15,3.859601,0.001156
4,5,7,0,0|0|1|3|3,,1,15,3.865873,0.000825,15,3.866401,0.001065
4,5,7,0,0|1|1|1|4,,1,15,3.867689,0.000941,15,3.867255,0.001540
4,5,7,0,0|0|1|2|4,,1,15,3.869863,0.001003,15,3.870123,0.000981
4,5,7,0,0|0|0|3|4,,1,15,3.826029,0.001177,15,3.826454,0.001252
4,5,7,0,0|0|1|1|5,,1,15,3.862942,0.000955,15,3.863049,0.000698
4,5,7,0,0|0|0|2|5,,1,15,3.835297,0.000935,15,3.835302,0.000871
4,5,7,0,0|0|0|1|6,,1,15,3.824311,0.000969,15,3.824416,0.001033
4,5,7,0,0|0|0|0|7,,1,15,3.604035,0.000698,15,3.604357,0.000703
