timestamp,elapsed_sec,m,n,B,bidirectional,K,s_size,s_mean,s_CI_halfwidth_onesided,s_CI_halfwidth_twosided,s_buffers,c_size,c_mean,c_CI_halfwidth_onesided,c_CI_halfwidth_twosided,c_buffers,m_S_star_blocks,m_worst_C_blocks,epsilon_hat,certified
2026-09-01T16:55:17,246.423,4,4,5,1,252,5,0.9208617047,7.647517431e-05,8.467649975e-05,"forward=[0,0,0,0] | backward=[0,1,1,3]",247,0.920779956,0.0005333889851,0.0005905905108,"forward=[0,0,0,1] | backward=[0,1,1,2]",249997,5000,0.0004963830562,1
2026-09-01T16:51:55,115.371,4,4,6,0,28,7,0.9130530166,7.004455532e-05,7.755625044e-05,"forward=[0,1,1,4] | backward=[0,0,0,0]",21,0.8752864,0.0003772780816,0.0004177380133,"forward=[0,0,4,2] | backward=[0,0,0,0]",249999,5000,0,1
2026-09-01T16:56:55,398.496,4,4,6,1,462,7,0.9268232005,8.148884769e-05,9.022784784e-05,"forward=[0,0,0,0] | backward=[0,1,1,4]",455,0.9266037623,0.0005642078915,0.0006247144882,"forward=[0,1,0,0] | backward=[0,0,1,4]",249997,5000,0.0003783121289,1
2026-09-01T16:52:05,129.309,4,4,7,0,36,8,0.9220493726,7.451768502e-05,8.250908604e-05,"forward=[0,1,2,4] | backward=[0,0,0,0]",28,0.8916495299,0.0004143746907,0.0004588129247,"forward=[0,0,4,3] | backward=[0,0,0,0]",249999,5000,0,1
2026-09-01T16:59:08,549.76,4,4,7,1,792,8,0.9314304189,8.542394221e-05,9.458494847e-05,"forward=[0,0,0,0] | backward=[0,1,1,5]",784,0.9315805164,0.0004883164152,0.0005406842832,"forward=[0,0,0,1] | backward=[0,1,1,4]",249998,7515,0.0006933847497,1
2026-09-01T16:52:24,155.336,4,4,8,0,45,10,0.9282647544,7.945756111e-05,8.797872269e-05,"forward=[0,1,2,5] | backward=[0,0,0,0]",35,0.8916281256,0.0004134729713,0.0004578145034,"forward=[0,0,5,3] | backward=[0,0,0,0]",249996,5000,0,1
2026-09-01T17:03:20,809.724,4,4,8,1,1287,10,0.9352846686,8.828357252e-05,9.77512503e-05,"forward=[0,0,0,0] | backward=[0,1,1,6]",1277,0.9356404661,0.0004278207501,0.000473700962,"forward=[0,0,0,1] | backward=[0,1,1,5]",249999,10128,0.0008474931881,1
2026-09-01T16:52:38,181.732,4,4,9,0,55,12,0.9329258831,8.314680369e-05,9.20636058e-05,"forward=[0,1,2,6] | backward=[0,0,0,0]",43,0.9012593112,0.0004420449292,0.0004894505658,"forward=[0,0,5,4] | backward=[0,0,0,0]",249999,5000,0,1
2026-09-01T17:09:09,1169.13,4,4,9,1,2002,12,0.9388109225,9.099614026e-05,0.0001007547183,"forward=[0,0,0,0] | backward=[0,1,2,6]",1990,0.9393087235,0.0006262147714,0.0006933710895,"forward=[0,0,1,1] | backward=[0,1,1,5]",250000,5000,0.001204298294,0
2026-09-01T17:01:11,462.85,5,4,10,0,286,23,0.9683112745,9.328912848e-05,0.0001032936105,"forward=[0,1,2,3,4] | backward=[0,0,0,0,0]",263,0.9681181635,0.0005328650405,0.0005900103776,"forward=[0,1,2,4,3] | backward=[0,0,0,0,0]",249999,6954,0.0003592484274,1
