k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
2500,"(0, 0, 0, 1, 3)","(0, 1, 1, 2, 1)",0.9694801319,2249969,0.0001901187809,0.9695138781,0.0004156121233,249999,0.0001650806482,2.75648,-13.9342,1,0,0.00030442307
2503,"(0, 0, 0, 2, 1)","(0, 1, 1, 1, 3)",0.9698823765,4999,0.001251052968,0.969504002,0.0004195096431,249999,0.0001548923775,2.58039,-14.0718,1,0,0.0002945559295
2493,"(0, 0, 0, 0, 1)","(0, 1, 1, 3, 3)",0.9695571572,4995,0.0009303776928,0.9694827859,0.0004258999019,249999,0.0001330055456,2.20746,-14.3821,0,0,0.0002731936576
2422,"(0, 0, 0, 0, 2)","(0, 1, 1, 2, 3)",0.9693878529,9599,0.0005657074497,0.9694674939,0.0004410150305,249999,0.0001172300256,1.92862,-14.5158,0,0,0.0002586536596
2499,"(0, 0, 0, 1, 2)","(0, 1, 1, 2, 2)",0.9695146234,4992,0.0008915094879,0.9694649659,0.0004195961604,249999,0.0001146220924,1.90942,-14.7416,0,0,0.0002542899436
2498,"(0, 0, 0, 1, 1)","(0, 1, 1, 2, 3)",0.9695510455,50406,0.0004392944013,0.9694601172,0.0004222495384,249995,0.0001096201445,1.82324,-14.8016,0,0,0.0002495068806
2423,"(0, 0, 0, 0, 3)","(0, 1, 1, 2, 2)",0.9694166502,2249969,0.0001252811686,0.9694432653,0.0004397735026,249997,9.223548865e-05,1.5185,-14.9375,0,0,0.0002335565029
2501,"(0, 0, 0, 1, 4)","(0, 1, 1, 2, 0)",0.9694464195,2249969,0.000155259399,0.969418057,0.0004147781109,249997,6.623022511e-05,1.10644,-15.5916,0,0,0.0002054969708
2497,"(0, 0, 0, 1, 0)","(0, 1, 1, 2, 4)",0.9693240592,4996,0.000668410527,0.9694071873,0.00042601152,249998,5.501681825e-05,0.913039,-15.6748,0,0,0.0001952087691
2428,"(0, 0, 0, 1, 2)","(0, 1, 1, 1, 3)",0.9695095019,4999,0.000877569713,0.9694036216,0.0004411452154,249999,5.133844736e-05,0.844536,-15.5981,0,0,0.0001927681018
2427,"(0, 0, 0, 1, 1)","(0, 1, 1, 1, 4)",0.9694974563,20639,0.0005130016852,0.9693970936,0.0004437491033,249999,4.460403755e-05,0.732654,-15.6854,0,0,0.0001862451594
2431,"(0, 0, 0, 1, 5)","(0, 1, 1, 1, 0)",0.9694575264,247142,0.0002263584481,0.9693847351,0.0004362012265,249998,3.185481248e-05,0.525521,-15.964,0,0,0.0001728799734
2538,"(0, 1, 0, 1, 1)","(0, 0, 1, 2, 3)",0.9692718544,4999,0.0006382318699,0.9693709165,0.0004225366472,249997,1.75993094e-05,0.292668,-16.3287,0,0,0.0001575029386
2429,"(0, 0, 0, 1, 3)","(0, 1, 1, 1, 2)",0.9696463132,9073,0.0008386690313,0.9693708655,0.0004398669543,249999,1.754673053e-05,0.288863,-16.1657,0,0,0.0001588698763
2457,"(0, 1, 0, 0, 1)","(0, 0, 1, 2, 4)",0.9696393836,4997,0.00101237486,0.9693677575,0.0004435084351,249999,1.434045821e-05,0.235585,-16.1845,0,0,0.0001559599026
2533,"(0, 1, 0, 0, 1)","(0, 0, 1, 3, 3)",0.9696346346,4995,0.0009911787213,0.9693541614,0.0004244475738,249999,3.145642716e-07,0.00522519,-16.5973,0,0,0.0001403739612
2430,"(0, 0, 0, 1, 4)","(0, 1, 1, 1, 1)",0.9693867892,73001,0.0002356967463,0.9693539054,0.0004369898314,249999,5.046976962e-08,0.00083224,-16.4809,0,0,0.0001411376743
2425,"(0, 0, 0, 0, 5)","(0, 1, 1, 2, 0)",0.9692706872,4991,0.0006386593946,0.9693449774,0.0004400293593,249999,-9.159825988e-06,-0.150779,-16.6035,0,0,0.0001321746986
2421,"(0, 0, 0, 0, 1)","(0, 1, 1, 2, 4)",0.9695639128,4999,0.0009463172767,0.9693378854,0.0004500208221,249999,-1.647606899e-05,-0.269662,-16.6285,0,0,0.0001256699969
2540,"(0, 1, 0, 1, 3)","(0, 0, 1, 2, 1)",0.9693516813,4996,0.0006957325582,0.9693151173,0.0004168041999,249999,-3.996397376e-05,-0.666837,-17.344,0,0,9.946249833e-05
2426,"(0, 0, 0, 1, 0)","(0, 1, 1, 1, 5)",0.9695264859,8042,0.000755397316,0.9692903452,0.0004464179034,249999,-6.551924331e-05,-1.07456,-17.4666,0,0,7.633113229e-05
2504,"(0, 0, 0, 2, 2)","(0, 1, 1, 1, 2)",0.9698752492,7022,0.001132046917,0.9692869811,0.0004184582098,249999,-6.898961012e-05,-1.15003,-17.8107,0,0,7.057140871e-05
2463,"(0, 1, 0, 1, 1)","(0, 0, 1, 1, 4)",0.9694720944,4999,0.0008490912027,0.9692774433,0.0004425780914,249997,-7.882896707e-05,-1.29569,-17.7238,0,0,6.270859236e-05
