k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
44,"(0, 0, 0, 0, 1)","(0, 0, 1, 1, 1)",0.9597324395,4997,0.001303204493,0.9593251013,0.0003523835566,249999,0.0002297651904,4.11953,-13.8028,1,0,0.0003595399429
45,"(0, 0, 0, 0, 2)","(0, 0, 1, 1, 0)",0.9582230446,4999,0,0.9584471338,0.0003340361325,249999,-0.000685637979,-12.4538,-30.6016,0,0,0
50,"(0, 0, 1, 0, 1)","(0, 0, 0, 1, 1)",0.9583690738,4999,0,0.9583708259,0.0003502405551,249996,-0.000765199525,-13.7401,-31.6801,0,0,0
49,"(0, 0, 1, 0, 0)","(0, 0, 0, 1, 2)",0.9582360472,4999,0,0.9583290466,0.0003598588515,249998,-0.0008087602535,-14.4253,-32.2455,0,0,0
46,"(0, 0, 0, 1, 0)","(0, 0, 1, 0, 2)",0.9580140084,4997,0,0.9579316317,0.0003563188243,249999,-0.001223120534,-21.8696,-39.7298,0,0,0
47,"(0, 0, 0, 1, 1)","(0, 0, 1, 0, 1)",0.9574589836,4998,0,0.9578465274,0.0003462918166,249999,-0.001311853638,-23.6214,-41.6063,0,0,0
55,"(0, 0, 0, 0, 0)","(0, 0, 1, 2, 1)",0.9570622124,4999,0,0.9576885868,0.0002977540562,249999,-0.001476528701,-27.5458,-46.1762,0,0,0
57,"(0, 0, 0, 1, 0)","(0, 0, 1, 1, 1)",0.9573415366,4998,0,0.9575037501,0.0002974036706,249995,-0.001669246632,-31.1492,-49.7825,0,0,0
51,"(0, 0, 1, 0, 2)","(0, 0, 0, 1, 0)",0.9570902361,4998,0,0.9573698535,0.0003321221099,249999,-0.001808852444,-32.9007,-51.0628,0,0,0
52,"(0, 0, 1, 1, 0)","(0, 0, 0, 0, 2)",0.9566973579,4996,0,0.9568095985,0.0003536961599,249998,-0.00239299616,-42.8654,-60.7475,0,0,0
48,"(0, 0, 0, 1, 2)","(0, 0, 1, 0, 0)",0.9567343469,4999,0,0.9567854231,0.0003218517238,249999,-0.002418202308,-44.3126,-62.604,0,0,0
