k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
305,"(0, 1, 2, 0)","(0, 0, 0, 6)",0.9370448179,4998,0,0.9367364398,0.000368641898,249996,-0.002230819635,-38.1902,-55.2814,0,0,0
303,"(0, 1, 1, 5)","(0, 0, 1, 1)",0.9364444667,4997,0,0.9366734134,0.0003415635048,249998,-0.002297952493,-40.0677,-57.4735,0,0,0
304,"(0, 1, 1, 6)","(0, 0, 1, 0)",0.9367798239,4996,0,0.9366139385,0.0003415434774,249999,-0.002361302494,-41.1729,-58.5784,0,0,0
288,"(0, 0, 2, 4)","(0, 1, 0, 2)",0.9368633453,4998,0,0.9365844557,0.0003442863893,249995,-0.0023927062,-41.6416,-59.014,0,0,0
290,"(0, 0, 2, 6)","(0, 1, 0, 0)",0.936575115,4999,0,0.936246938,0.0003383906988,249998,-0.002752214764,-48.0937,-65.5334,0,0,0
36,"(0, 0, 1, 0)","(0, 0, 1, 7)",0.9342314926,4998,0,0.9339215037,0.0003346008112,249999,-0.005229161925,-91.6182,-109.081,0,0,0
37,"(0, 0, 1, 1)","(0, 0, 1, 6)",0.9336518519,4995,0,0.9339184513,0.0003301993803,249998,-0.005232413137,-91.9575,-109.473,0,0,0
38,"(0, 0, 1, 2)","(0, 0, 1, 5)",0.9337090836,4998,0,0.9336263955,0.0003214540926,249997,-0.005543497765,-98.0272,-115.648,0,0,0
11,"(0, 0, 0, 1)","(0, 0, 1, 7)",0.9332066413,4999,0,0.9334764339,0.0003058647066,249999,-0.005703230074,-101.986,-119.802,0,0,0
12,"(0, 0, 0, 2)","(0, 0, 1, 6)",0.9325994398,4998,0,0.9332274009,0.0002998128795,249999,-0.005968488729,-107.202,-125.093,0,0,0
35,"(0, 0, 0, 7)","(0, 0, 2, 0)",0.9329003801,4999,0,0.9332101097,0.0003089672859,249998,-0.005986906562,-106.819,-124.592,0,0,0
34,"(0, 0, 0, 6)","(0, 0, 2, 1)",0.9333201921,4997,0,0.9331982664,0.0003117905516,249997,-0.00599952151,-106.826,-124.563,0,0,0
39,"(0, 0, 1, 3)","(0, 0, 1, 4)",0.9333362673,4999,0,0.9331740807,0.0003167781903,249999,-0.006025283002,-106.902,-124.576,0,0,0
44,"(0, 0, 2, 0)","(0, 0, 0, 7)",0.9331190238,4999,0,0.9330045,0.000325401131,249999,-0.006205912652,-109.435,-127,0,0,0
45,"(0, 0, 2, 1)","(0, 0, 0, 6)",0.9326805361,4999,0,0.9329862439,0.000324018047,249998,-0.006225358251,-109.885,-127.467,0,0,0
13,"(0, 0, 0, 3)","(0, 0, 1, 5)",0.9327088,5000,0,0.9329556516,0.000291476199,249998,-0.006257943723,-113.093,-131.09,0,0,0
40,"(0, 0, 1, 4)","(0, 0, 1, 3)",0.9332777111,4998,0,0.93289488,0.0003126644564,250000,-0.006322674924,-112.51,-130.233,0,0,0
41,"(0, 0, 1, 5)","(0, 0, 1, 2)",0.9325985197,4999,0,0.9327609712,0.0003118396225,249995,-0.006465308485,-115.116,-132.848,0,0,0
42,"(0, 0, 1, 6)","(0, 0, 1, 1)",0.9325439264,4997,0,0.9327041404,0.000308174951,249997,-0.006525842044,-116.501,-134.279,0,0,0
43,"(0, 0, 1, 7)","(0, 0, 1, 0)",0.9329011407,4997,0,0.9326094529,0.0003067786755,249998,-0.006626698955,-118.422,-136.216,0,0,0
46,"(0, 0, 2, 2)","(0, 0, 0, 5)",0.9322126851,4998,0,0.9324598757,0.0003176152554,249998,-0.006786021802,-120.327,-137.984,0,0,0
17,"(0, 0, 0, 7)","(0, 0, 1, 1)",0.9325098039,4998,0,0.9324130793,0.0002873271388,249998,-0.006835867178,-123.919,-141.965,0,0,0
18,"(0, 0, 0, 8)","(0, 0, 1, 0)",0.9323354671,4999,0,0.932362032,0.0002884244225,250000,-0.006890240452,-124.802,-142.834,0,0,0
47,"(0, 0, 2, 3)","(0, 0, 0, 4)",0.9321722344,4999,0,0.9321482812,0.0003073744614,249998,-0.007117918127,-127.145,-144.927,0,0,0
48,"(0, 0, 2, 4)","(0, 0, 0, 3)",0.9317005401,4999,0,0.9317720311,0.0003061844799,249999,-0.007518682671,-134.42,-152.213,0,0,0
49,"(0, 0, 2, 5)","(0, 0, 0, 2)",0.9316230492,4998,0,0.9315766429,0.0003030409636,249997,-0.007726801288,-138.456,-156.288,0,0,0
50,"(0, 0, 2, 6)","(0, 0, 0, 1)",0.931211011,4995,0,0.931511768,0.0003019751574,250000,-0.007795903111,-139.803,-157.648,0,0,0
51,"(0, 0, 2, 7)","(0, 0, 0, 0)",0.931877551,4998,0,0.9313816726,0.0003011312139,249997,-0.007934474853,-142.376,-160.23,0,0,0
19,"(0, 0, 1, 0)","(0, 0, 0, 8)",0.930517607,4998,0,0.930423176,0.0002792509111,250000,-0.008955421948,-163.328,-181.461,0,0,0
20,"(0, 0, 1, 1)","(0, 0, 0, 7)",0.9304526,5000,0,0.9303667935,0.0002766026439,249999,-0.009015478066,-164.753,-182.921,0,0,0
21,"(0, 0, 1, 2)","(0, 0, 0, 6)",0.9300696418,4997,0,0.9299340115,0.0002722159881,249998,-0.009476457823,-173.755,-191.979,0,0,0
22,"(0, 0, 1, 3)","(0, 0, 0, 5)",0.9290090036,4998,0,0.9296173194,0.000268481441,249997,-0.00981378385,-180.455,-198.726,0,0,0
23,"(0, 0, 1, 4)","(0, 0, 0, 4)",0.9290996199,4999,0,0.9294254508,0.000265123301,249996,-0.01001815358,-184.689,-203.005,0,0,0
24,"(0, 0, 1, 5)","(0, 0, 0, 3)",0.9290494,5000,0,0.9291946368,0.0002641322657,249999,-0.01026400622,-189.367,-207.694,0,0,0
25,"(0, 0, 1, 6)","(0, 0, 0, 2)",0.9292308924,4998,0,0.9291147009,0.0002647076323,249998,-0.01034915027,-190.853,-209.171,0,0,0
26,"(0, 0, 1, 7)","(0, 0, 0, 1)",0.9288905781,4999,0,0.9290506882,0.0002640802554,249999,-0.01041733372,-192.204,-210.529,0,0,0
2,"(0, 0, 0, 2)","(0, 0, 0, 7)",0.8897809124,4998,0,0.8899686676,9.499117415e-05,249997,-0.0520457299,-1117.21,-1137.76,0,0,0
4,"(0, 0, 0, 4)","(0, 0, 0, 5)",0.8896421284,4999,0,0.8897327579,9.563292181e-05,249998,-0.05229701029,-1121.85,-1142.39,0,0,0
5,"(0, 0, 0, 5)","(0, 0, 0, 4)",0.8896830732,4998,0,0.8897076697,9.557181852e-05,249998,-0.0523237331,-1122.49,-1143.03,0,0,0
8,"(0, 0, 0, 8)","(0, 0, 0, 1)",0.8894850911,4997,0,0.8896262825,9.687703481e-05,249999,-0.05241042301,-1122.82,-1143.33,0,0,0
9,"(0, 0, 0, 9)","(0, 0, 0, 0)",0.8896359272,4999,0,0.8896117529,9.622914414e-05,249998,-0.05242589929,-1123.91,-1144.44,0,0,0
