k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
3636,"(0, 0, 0, 1, 3)","(0, 1, 1, 2, 2)",0.9705476153,12790,0.000503458507,0.9706951963,0.000438883502,249997,0.0001950387622,3.17399,-13.093,1,0,0.0003380153844
3635,"(0, 0, 0, 1, 2)","(0, 1, 1, 2, 3)",0.9706915604,2749978,0.0002513222674,0.970684915,0.000440497869,249996,0.0001844449229,2.99886,-13.2533,1,0,0.0003275506261
3637,"(0, 0, 0, 1, 4)","(0, 1, 1, 2, 1)",0.9706349586,657720,0.0002189129475,0.9706772934,0.0004376875375,249998,0.0001765917607,2.87572,-13.4021,1,0,0.0003194707401
3634,"(0, 0, 0, 1, 1)","(0, 1, 1, 2, 4)",0.9708347971,6604,0.0009702267768,0.9706652347,0.0004464503482,249999,0.0001641665325,2.66029,-13.5377,1,0,0.0003077475869
3640,"(0, 0, 0, 2, 1)","(0, 1, 1, 1, 4)",0.9708525646,12107,0.000829749387,0.9706321865,0.0004395443301,249999,0.0001301140534,2.11664,-14.1438,0,0,0.0002731388022
3629,"(0, 0, 0, 0, 2)","(0, 1, 1, 3, 3)",0.9706769354,4999,0.0009041969826,0.9706275035,0.0004411676627,249997,0.0001252887364,2.03629,-14.2093,0,0,0.0002684438007
3628,"(0, 0, 0, 0, 1)","(0, 1, 1, 3, 4)",0.9707028812,4998,0.000943660227,0.9705909784,0.0004477159437,249999,8.765355482e-05,1.41941,-14.7666,0,0,0.0002313303619
3641,"(0, 0, 0, 2, 2)","(0, 1, 1, 1, 3)",0.9705505493,2749977,0.0001059661488,0.9705884991,0.0004387630572,249997,8.509890585e-05,1.38496,-14.8822,0,0,0.0002280578855
3630,"(0, 0, 0, 0, 3)","(0, 1, 1, 3, 2)",0.9707448716,6581,0.0008848517115,0.9705836743,0.0004429567253,249999,8.012755303e-05,1.30099,-14.928,0,0,0.0002234226265
3724,"(0, 0, 0, 0, 1)","(0, 1, 1, 4, 3)",0.9706988796,4998,0.0008992920212,0.9705348341,0.0004245390939,249999,2.980308323e-05,0.488965,-15.9094,0,0,0.0001716096605
3551,"(0, 0, 0, 1, 1)","(0, 1, 1, 1, 5)",0.9708665184,5394,0.001085700505,0.9705333683,0.0004678241545,249998,2.829266235e-05,0.453109,-15.5543,0,0,0.0001735649158
3631,"(0, 0, 0, 0, 4)","(0, 1, 1, 3, 1)",0.9706887822,81888,0.0003833160367,0.9705306901,0.0004417688473,249999,2.553312822e-05,0.414844,-15.8245,0,0,0.0001687289536
3632,"(0, 0, 0, 0, 5)","(0, 1, 1, 3, 0)",0.970691551,9658,0.0007128584708,0.9705300925,0.0004430901043,249996,2.491732436e-05,0.404539,-15.8227,0,0,0.0001682195332
