k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
117,"(0, 0, 0, 0, 1)","(0, 0, 1, 2, 2)",0.964965141,20253,0.0005778526481,0.9649554949,0.0004005902519,249994,0.00023084223,3.92173,-13.0605,1,0,0.0003678019119
118,"(0, 0, 0, 0, 2)","(0, 0, 1, 2, 1)",0.9648572081,50332,0.0003407990588,0.9648637269,0.0003938933645,249998,0.0001357194949,2.31536,-14.737,0,0,0.0002721021683
121,"(0, 0, 0, 1, 1)","(0, 0, 1, 1, 2)",0.9647644403,5315,0.000673499477,0.9648495434,0.000400768513,249999,0.0001210174844,2.05572,-14.9238,0,0,0.0002579840562
122,"(0, 0, 0, 1, 2)","(0, 0, 1, 1, 1)",0.9645871523,4997,0.0005175917468,0.9647894312,0.0003916775944,249999,5.870775383e-05,1.00294,-16.0724,0,0,0.0001948958689
627,"(0, 0, 0, 0, 1)","(0, 1, 1, 2, 1)",0.9647863896,17663,0.0003954018749,0.9646915268,0.0003597159224,249999,-4.277567478e-05,-0.745865,-18.1729,0,0,9.064781985e-05
123,"(0, 0, 0, 1, 3)","(0, 0, 1, 1, 0)",0.965079816,4999,0.001026419802,0.9646694347,0.0003853379737,249999,-6.567537148e-05,-1.12646,-18.269,0,0,6.996160736e-05
119,"(0, 0, 0, 0, 3)","(0, 0, 1, 2, 0)",0.9642991396,10460,1.556432563e-05,0.9646412091,0.0003868610125,249998,-9.493274538e-05,-1.62671,-18.7525,0,0,4.083286613e-05
120,"(0, 0, 0, 1, 0)","(0, 0, 1, 1, 3)",0.9646572964,670381,0,0.9646176025,0.000407283251,249999,-0.0001194023803,-2.02014,-18.9295,0,0,1.809977854e-05
630,"(0, 0, 0, 1, 1)","(0, 1, 1, 1, 1)",0.9642884307,4996,0.000169716287,0.9646003184,0.0003583595861,249999,-0.0001373182936,-2.3965,-19.8381,0,0,0
629,"(0, 0, 0, 1, 0)","(0, 1, 1, 1, 2)",0.9646747349,4999,0.0005839326118,0.9644863739,0.0003663783284,249999,-0.0002554281542,-4.43455,-21.7844,0,0,0
645,"(0, 1, 0, 0, 1)","(0, 0, 1, 2, 1)",0.9646662221,5249,0.0005575149012,0.9643836175,0.0003609059654,249999,-0.0003619409749,-6.30614,-23.7167,0,0,0
129,"(0, 0, 1, 0, 1)","(0, 0, 0, 2, 2)",0.9647336402,4997,0.0006656249861,0.9643669175,0.0004034107554,249999,-0.0003792515368,-6.43181,-23.3793,0,0,0
644,"(0, 1, 0, 0, 0)","(0, 0, 1, 2, 2)",0.9642830566,4999,0.0001699201881,0.9643265253,0.0003660096657,249999,-0.0004211202924,-7.31292,-24.6653,0,0,0
647,"(0, 1, 0, 1, 0)","(0, 0, 1, 1, 2)",0.9642838568,4999,0.000174279733,0.9642844623,0.0003663959786,249998,-0.0004647209979,-8.06804,-25.4157,0,0,0
125,"(0, 0, 0, 2, 1)","(0, 0, 1, 0, 2)",0.9645875525,4997,0.0005229370686,0.9642783971,0.0003991460365,249999,-0.0004710078808,-8.00907,-25.0006,0,0,0
648,"(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)",0.9644726945,4999,0.0003580510059,0.964245157,0.0003572524563,249999,-0.000505463155,-8.82781,-26.2786,0,0,0
