k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
1604,"(0, 0, 0, 0, 1)","(0, 1, 1, 2, 3)",0.9687608565,4997,0.001443828761,0.9682914092,0.0004239422886,249999,0.0002658633326,4.41327,-12.1804,1,0,0.0004060351447
1668,"(0, 0, 0, 1, 1)","(0, 1, 1, 2, 2)",0.9685196078,4998,0.001173961315,0.9682184377,0.0003975441399,249998,0.0001904822873,3.21222,-13.6444,1,0,0.0003284562814
1610,"(0, 0, 0, 1, 2)","(0, 1, 1, 1, 2)",0.9681597207,1249982,0.000189408717,0.9682149329,0.0004163301067,249999,0.0001868616628,3.11584,-13.5519,1,0,0.0003263991826
1609,"(0, 0, 0, 1, 1)","(0, 1, 1, 1, 3)",0.9684002035,6879,0.0009673520575,0.9681856167,0.00042267536,249999,0.0001565774828,2.60109,-14.004,1,0,0.0002966371647
1605,"(0, 0, 0, 0, 2)","(0, 1, 1, 2, 2)",0.9682348627,6408,0.000824347044,0.9681395268,0.0004191725968,249995,0.0001089655706,1.81389,-14.8251,0,0,0.0002487332658
1606,"(0, 0, 0, 0, 3)","(0, 1, 1, 2, 1)",0.9679809126,193740,6.263874996e-05,0.9681358891,0.0004167169189,249998,0.0001052077447,1.75389,-14.9093,0,0,0.0002447716572
1669,"(0, 0, 0, 1, 2)","(0, 1, 1, 2, 1)",0.9681533784,7400,0.0006789962387,0.968129049,0.0003926760266,249998,9.814182095e-05,1.65994,-15.2458,0,0,0.0002357010351
1607,"(0, 0, 0, 0, 4)","(0, 1, 1, 2, 0)",0.9680762152,4999,0.0007285882253,0.9681119311,0.0004144952476,249993,8.045866361e-05,1.34307,-15.3418,0,0,0.0002198375111
1664,"(0, 0, 0, 0, 1)","(0, 1, 1, 3, 2)",0.9681833039,1249979,0.0002130585938,0.9680960564,0.0004030300774,249999,6.405970539e-05,1.0767,-15.723,0,0,0.0002024830964
1667,"(0, 0, 0, 1, 0)","(0, 1, 1, 2, 3)",0.9680465931,25111,0.0003167194212,0.9680908724,0.0004003585931,249999,5.870450041e-05,0.988286,-15.8385,0,0,0.0001969043972
1634,"(0, 1, 0, 0, 1)","(0, 0, 1, 2, 3)",0.9679283283,4995,0.0005868548908,0.9680893326,0.000423587965,249987,5.711393838e-05,0.948265,-15.6469,0,0,0.0001972435511
1611,"(0, 0, 0, 1, 3)","(0, 1, 1, 1, 1)",0.9681251268,1249980,0.0001535193838,0.9680821413,0.0004147412157,249996,4.968513866e-05,0.82926,-15.853,0,0,0.0001890817834
1665,"(0, 0, 0, 0, 2)","(0, 1, 1, 3, 1)",0.9680886101,1249981,0.0001150737743,0.9680788606,0.0003929264922,249998,4.629612214e-05,0.782918,-16.1198,0,0,0.0001838726555
1672,"(0, 0, 0, 2, 1)","(0, 1, 1, 1, 2)",0.9680432447,1249979,6.824854057e-05,0.9680652365,0.0003948710147,249998,3.222212436e-05,0.544266,-16.3383,0,0,0.0001699608226
1635,"(0, 1, 0, 0, 2)","(0, 0, 1, 2, 2)",0.968024781,241596,9.713360092e-05,0.9680574725,0.0004197688542,249998,2.420168111e-05,0.402732,-16.2297,0,0,0.0001640122594
1612,"(0, 0, 0, 1, 4)","(0, 1, 1, 1, 0)",0.9682421938,4996,0.0008986227595,0.9680408522,0.0004132189849,249999,7.03255729e-06,0.117482,-16.5796,0,0,0.0001462995741
1640,"(0, 1, 0, 1, 2)","(0, 0, 1, 1, 2)",0.9677813563,4999,0.0004297316611,0.9680264321,0.0004164916573,249999,-7.863672614e-06,-0.131111,-16.7956,0,0,0.0001316734755
1700,"(0, 1, 0, 1, 1)","(0, 0, 1, 2, 2)",0.9681484375,55552,0.0003231357237,0.9680244241,0.0003971350045,249999,-9.937988124e-06,-0.167632,-17.0267,0,0,0.0001279873036
1639,"(0, 1, 0, 1, 1)","(0, 0, 1, 1, 3)",0.968476686,4997,0.001145958748,0.9680233521,0.0004211411118,249999,-1.104539162e-05,-0.183654,-16.8024,0,0,0.0001288758985
1608,"(0, 0, 0, 1, 0)","(0, 1, 1, 1, 4)",0.9680670202,1249982,9.386824768e-05,0.9680176963,0.0004250942207,249996,-1.688796534e-05,-0.280146,-16.8602,0,0,0.0001233593062
1641,"(0, 1, 0, 1, 3)","(0, 0, 1, 1, 1)",0.9684076815,4999,0.00106548289,0.967990156,0.0004106806565,249999,-4.533771117e-05,-0.758535,-17.4804,0,0,9.37148993e-05
1697,"(0, 1, 0, 0, 2)","(0, 0, 1, 3, 1)",0.968105221,4999,0.0007525399175,0.9679569637,0.0003964905338,249998,-7.962607645e-05,-1.34364,-18.2086,0,0,5.824038495e-05
251,"(0, 0, 0, 1, 1)","(0, 0, 1, 2, 3)",0.9683663902,24231,0.0006620067933,0.9679507958,0.0004289515186,249999,-8.599760084e-05,-1.42335,-17.9655,0,0,5.456175168e-05
1701,"(0, 1, 0, 1, 2)","(0, 0, 1, 2, 1)",0.9680734441,4997,0.0007089297567,0.9679489958,0.0003892052602,249999,-8.785704701e-05,-1.48915,-18.4292,0,0,4.9396928e-05
1636,"(0, 1, 0, 0, 3)","(0, 0, 1, 2, 1)",0.9679601834,1249982,0,0.9679487158,0.0004178968451,249999,-8.81462942e-05,-1.46844,-18.1184,0,0,5.150146943e-05
1666,"(0, 0, 0, 0, 3)","(0, 1, 1, 3, 0)",0.9678771358,1249982,0,0.9679464914,0.0003895350614,249997,-9.044418545e-05,-1.53269,-18.4692,0,0,4.683761947e-05
218,"(0, 0, 0, 1, 3)","(0, 0, 1, 1, 2)",0.9678129626,4999,0.0004629542482,0.9679188394,0.0004444336982,249998,-0.0001190093039,-1.95214,-18.3464,0,0,2.281453194e-05
217,"(0, 0, 0, 1, 2)","(0, 0, 1, 1, 3)",0.9686021204,4999,0.001285730675,0.9679130339,0.0004472396118,249994,-0.0001250064462,-2.04721,-18.4151,0,0,1.704590909e-05
1699,"(0, 1, 0, 1, 0)","(0, 0, 1, 2, 3)",0.9677537508,4999,0.0003841040932,0.9679046869,0.0004003110325,249997,-0.0001336291353,-2.2497,-19.0752,0,0,4.553346772e-06
219,"(0, 0, 0, 1, 4)","(0, 0, 1, 1, 1)",0.9682273182,4993,0.0009037558728,0.9678823315,0.0004415394745,249999,-0.0001567226691,-2.57505,-18.9963,0,0,0
213,"(0, 0, 0, 0, 4)","(0, 0, 1, 2, 1)",0.968243043,4995,0.0009315621052,0.9678747395,0.0004452252597,249999,-0.0001645653998,-2.69819,-19.0847,0,0,0
220,"(0, 0, 0, 1, 5)","(0, 0, 1, 1, 0)",0.9681764405,5866,0.0008023481321,0.9678533251,0.0004401542186,249995,-0.0001866869694,-3.06982,-19.5039,0,0,0
247,"(0, 0, 0, 0, 2)","(0, 0, 1, 3, 2)",0.9679435088,1249982,0,0.9678498548,0.0004250883017,249998,-0.0001902718306,-3.15634,-19.735,0,0,0
246,"(0, 0, 0, 0, 1)","(0, 0, 1, 3, 3)",0.968261932,20093,0.0005838519467,0.9678474594,0.0004304784513,249999,-0.0001927463396,-3.18732,-19.7138,0,0,0
252,"(0, 0, 0, 1, 2)","(0, 0, 1, 2, 2)",0.9681544618,4998,0.0008195138912,0.9678404621,0.0004237304716,249997,-0.0001999747055,-3.31994,-19.9118,0,0,0
250,"(0, 0, 0, 1, 0)","(0, 0, 1, 2, 4)",0.9680174035,4999,0.0006811694652,0.9678052689,0.0004294657097,249996,-0.0002363300398,-3.91033,-20.4462,0,0,0
