k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
1025,"(0, 0, 0, 0, 1)","(0, 1, 1, 2, 2)",0.9666351622,4994,0.0007694777049,0.9667388299,0.000396772656,249998,0.000215376036,3.68424,-13.4151,1,0,0.0003513952612
1029,"(0, 0, 0, 1, 1)","(0, 1, 1, 1, 2)",0.9666673593,10588,0.0005852820649,0.9666902628,0.0003974266026,249999,0.0001651270873,2.82353,-14.2684,1,0,0.0003011984388
1026,"(0, 0, 0, 0, 2)","(0, 1, 1, 2, 1)",0.9667197446,10337,0.0006407843073,0.9666850987,0.0003892570596,249999,0.0001597842453,2.74625,-14.4337,1,0,0.0002951577603
159,"(0, 0, 0, 0, 1)","(0, 0, 1, 2, 3)",0.9664539366,6122,0.0005358519637,0.9666793347,0.0004263271208,249999,0.0001538206238,2.58387,-14.2072,1,0,0.0002923303908
1030,"(0, 0, 0, 1, 2)","(0, 1, 1, 1, 1)",0.9664308831,13101,0.0002926102468,0.9666144603,0.0003902166193,249995,8.669970289e-05,1.48922,-15.6796,0,0,0.0002221508405
1053,"(0, 1, 0, 1, 1)","(0, 0, 1, 1, 2)",0.9671012202,4999,0.001219809949,0.9665906544,0.0003936178738,249999,6.206941694e-05,1.06387,-16.068,0,0,0.0001978089835
164,"(0, 0, 0, 1, 1)","(0, 0, 1, 1, 3)",0.966699245,9669,0.0006564699084,0.9665688503,0.0004281499879,249999,3.951029071e-05,0.662962,-16.1087,0,0,0.0001781647986
160,"(0, 0, 0, 0, 2)","(0, 0, 1, 2, 2)",0.9665870035,1499986,9.230818324e-05,0.9665415622,0.0004256973572,249999,1.127724006e-05,0.189506,-16.6068,0,0,0.0001497247355
193,"(0, 0, 0, 1, 1)","(0, 0, 1, 2, 2)",0.9664420891,1499985,0,0.9665221061,0.0004011315194,249999,-8.85256915e-06,-0.151021,-17.202,0,0,0.0001275220438
1050,"(0, 1, 0, 0, 2)","(0, 0, 1, 2, 1)",0.9666361272,4999,0.0007463490456,0.9665119422,0.000390816208,249995,-1.936837581e-05,-0.33256,-17.4939,0,0,0.000116126763
1028,"(0, 0, 0, 1, 0)","(0, 1, 1, 1, 3)",0.9669403821,17847,0.0007610064533,0.9665066522,0.0003993739002,249994,-2.484164159e-05,-0.424251,-17.4937,0,0,0.000111383139
165,"(0, 0, 0, 1, 2)","(0, 0, 1, 1, 2)",0.9665572973,365017,9.588860929e-05,0.966495654,0.0004227623702,249999,-3.622066707e-05,-0.609747,-17.4355,0,0,0.0001019777725
166,"(0, 0, 0, 1, 3)","(0, 0, 1, 1, 1)",0.9663558194,7664,0.0003550272038,0.9664915739,0.0004168593078,249997,-4.044203726e-05,-0.68326,-17.5694,0,0,9.726056744e-05
1049,"(0, 1, 0, 0, 1)","(0, 0, 1, 2, 2)",0.9668421053,4997,0.0009690102495,0.9664735539,0.0003992142933,249999,-5.908604451e-05,-1.00919,-18.0801,0,0,7.712214125e-05
167,"(0, 0, 0, 1, 4)","(0, 0, 1, 1, 0)",0.9664649944,8970,0.0004270076393,0.9664722718,0.0004173271891,249998,-6.041255808e-05,-1.02037,-17.9016,0,0,7.732792292e-05
1031,"(0, 0, 0, 1, 3)","(0, 1, 1, 1, 0)",0.9663084888,9754,0.0002295863878,0.9664677963,0.000383822548,249987,-6.504298827e-05,-1.12176,-18.3588,0,0,6.985063901e-05
162,"(0, 0, 0, 0, 4)","(0, 0, 1, 2, 0)",0.9666559312,4999,0.0008051392834,0.9664481236,0.000418179693,249998,-8.539696274e-05,-1.4416,-18.3138,0,0,5.241352922e-05
1027,"(0, 0, 0, 0, 3)","(0, 1, 1, 2, 0)",0.9667719088,4998,0.0008844782651,0.9664470658,0.000389256015,249999,-8.649138919e-05,-1.48655,-18.6643,0,0,4.886511186e-05
161,"(0, 0, 0, 0, 3)","(0, 0, 1, 2, 1)",0.9665298532,30650,0.0002614618171,0.9664130443,0.000421548591,249995,-0.0001216910251,-2.05008,-18.8874,0,0,1.640041698e-05
163,"(0, 0, 0, 1, 0)","(0, 0, 1, 1, 4)",0.9664744496,19804,0.0002764962717,0.9663660935,0.0004310608686,249999,-0.000170267649,-2.852,-19.5927,0,0,0
1054,"(0, 1, 0, 1, 2)","(0, 0, 1, 1, 1)",0.9664191677,4998,0.0005115944896,0.9663527214,0.000388232998,249999,-0.0001841027543,-3.16627,-20.3543,0,0,0
1048,"(0, 1, 0, 0, 0)","(0, 0, 1, 2, 3)",0.9665936311,4993,0.0007143252849,0.9663514814,0.0004007370512,249999,-0.0001853856986,-3.16338,-20.2171,0,0,0
194,"(0, 0, 0, 1, 2)","(0, 0, 1, 2, 1)",0.9662596204,5743,0.0003367117574,0.9663471774,0.0003956663057,249999,-0.0001898387567,-3.24966,-20.3574,0,0,0
1076,"(0, 0, 0, 1, 1)","(0, 1, 1, 2, 1)",0.9663178156,62187,0,0.9663231133,0.0003650188224,249999,-0.0002147361523,-3.74863,-21.1944,0,0,0
1052,"(0, 1, 0, 1, 0)","(0, 0, 1, 1, 3)",0.9663651461,4998,0.0004959563731,0.9663188024,0.000397414141,249995,-0.0002191963485,-3.74808,-20.8368,0,0,0
192,"(0, 0, 0, 1, 0)","(0, 0, 1, 2, 3)",0.966167467,4998,0.0002878945277,0.9662967784,0.0004053450514,249998,-0.0002419830046,-4.11733,-21.1218,0,0,0
1073,"(0, 0, 0, 0, 1)","(0, 1, 1, 3, 1)",0.9663448769,20993,0.000104956104,0.9662935023,0.0003652579402,249998,-0.0002453724741,-4.28277,-21.7256,0,0,0
