panel,n,m,throughput,halfwidth,sd,gain_percent,replications,steps,warmup,seed,dual,loops
table2a_single_staggered,4,4,2.732540927,0.000195474,0.000523496,4.2569,30,1330000,20000,20260901,false,"24 24 25 26"
table2a_single_staggered,4,5,3.046502607,0.000238833,0.000639615,6.3969,30,1330000,20000,20260901,false,"24 24 25 26 27"
table2a_single_staggered,4,6,3.281076591,0.000219893,0.000588893,8.0365,30,1330000,20000,20260901,false,"24 24 25 26 27 28"
table2a_single_staggered,4,7,3.457031278,0.000212826,0.000569968,9.1836,30,1330000,20000,20260901,false,"24 24 25 26 27 28 29"
table2a_single_staggered,4,8,3.588623108,0.000204872,0.000548664,9.8884,30,1330000,20000,20260901,false,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,9,3.687262180,0.000192596,0.000515790,10.2531,30,1330000,20000,20260901,false,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,5,4,2.950961704,0.000193053,0.000517014,3.0740,30,1330000,20000,20260901,false,"28 28 29 30"
table2a_single_staggered,5,5,3.358801178,0.000234557,0.000628163,4.9761,30,1330000,20000,20260901,false,"28 28 29 30 31"
table2a_single_staggered,5,6,3.684453108,0.000231189,0.000619146,6.6934,30,1330000,20000,20260901,false,"28 28 29 30 31 32"
table2a_single_staggered,5,7,3.944624236,0.000248441,0.000665348,8.1124,30,1330000,20000,20260901,false,"28 28 29 30 31 32 33"
table2a_single_staggered,5,8,4.152371253,0.000247669,0.000663280,9.2040,30,1330000,20000,20260901,false,"28 28 29 30 31 32 33 34"
table2a_single_staggered,5,9,4.318560602,0.000241589,0.000646997,9.9993,30,1330000,20000,20260901,false,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,6,4,3.105865789,0.000167924,0.000449714,2.2853,30,1330000,20000,20260901,false,"32 32 33 34"
table2a_single_staggered,6,5,3.587075764,0.000195526,0.000523637,3.8830,30,1330000,20000,20260901,false,"32 32 33 34 35"
table2a_single_staggered,6,6,3.987267845,0.000280751,0.000751877,5.4582,30,1330000,20000,20260901,false,"32 32 33 34 35 36"
table2a_single_staggered,6,7,4.320469298,0.000335843,0.000899417,6.8958,30,1330000,20000,20260901,false,"32 32 33 34 35 36 37"
table2a_single_staggered,6,8,4.597729073,0.000251254,0.000672879,8.1273,30,1330000,20000,20260901,false,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,9,4.828625890,0.000238524,0.000638789,9.1385,30,1330000,20000,20260901,false,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,7,4,3.221168872,0.000229990,0.000615932,1.7512,30,1330000,20000,20260901,false,"36 36 37 38"
table2a_single_staggered,7,5,3.760299549,0.000260469,0.000697559,3.0736,30,1330000,20000,20260901,false,"36 36 37 38 39"
table2a_single_staggered,7,6,4.221692306,0.000299886,0.000803122,4.4583,30,1330000,20000,20260901,false,"36 36 37 38 39 40"
table2a_single_staggered,7,7,4.616809799,0.000297930,0.000797883,5.8029,30,1330000,20000,20260901,false,"36 36 37 38 39 40 41"
table2a_single_staggered,7,8,4.955071579,0.000264717,0.000708935,7.0351,30,1330000,20000,20260901,false,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,9,5.244986015,0.000281304,0.000753356,8.1254,30,1330000,20000,20260901,false,"36 36 37 38 39 40 41 42 43"
table2a_single_staggered,8,4,3.310427268,0.000194205,0.000520097,1.3842,30,1330000,20000,20260901,false,"40 40 41 42"
table2a_single_staggered,8,5,3.896080526,0.000260151,0.000696708,2.4776,30,1330000,20000,20260901,false,"40 40 41 42 43"
table2a_single_staggered,8,6,4.407874060,0.000252544,0.000676336,3.6720,30,1330000,20000,20260901,false,"40 40 41 42 43 44"
table2a_single_staggered,8,7,4.855622130,0.000274092,0.000734042,4.8915,30,1330000,20000,20260901,false,"40 40 41 42 43 44 45"
table2a_single_staggered,8,8,5.247024060,0.000294836,0.000789597,6.0622,30,1330000,20000,20260901,false,"40 40 41 42 43 44 45 46"
table2a_single_staggered,8,9,5.589378822,0.000281008,0.000752564,7.1475,30,1330000,20000,20260901,false,"40 40 41 42 43 44 45 46 47"
table2a_single_staggered,9,4,3.381325088,0.000197743,0.000529572,1.1173,30,1330000,20000,20260901,false,"44 44 45 46"
table2a_single_staggered,9,5,4.005173258,0.000239903,0.000642481,2.0299,30,1330000,20000,20260901,false,"44 44 45 46 47"
table2a_single_staggered,9,6,4.559328997,0.000285477,0.000764532,3.0627,30,1330000,20000,20260901,false,"44 44 45 46 47 48"
table2a_single_staggered,9,7,5.051670702,0.000259482,0.000694916,4.1475,30,1330000,20000,20260901,false,"44 44 45 46 47 48 49"
table2a_single_staggered,9,8,5.488972381,0.000206050,0.000551820,5.2261,30,1330000,20000,20260901,false,"44 44 45 46 47 48 49 50"
table2a_single_staggered,9,9,5.877512206,0.000196282,0.000525661,6.2615,30,1330000,20000,20260901,false,"44 44 45 46 47 48 49 50 51"
table2b_dual_staggered_return,4,4,3.082430251,0.000186451,0.000499332,1.8103,30,1330000,20000,20260901,true,"24 24 25 26"
table2b_dual_staggered_return,4,5,3.416107970,0.000250811,0.000671693,3.0377,30,1330000,20000,20260901,true,"24 24 25 26 27"
table2b_dual_staggered_return,4,6,3.625945564,0.000250517,0.000670907,3.7466,30,1330000,20000,20260901,true,"24 24 25 26 27 28"
