Model_Utilization	Sim_Utilization
0.606123	0.594447
0.622621	0.614150
0.623211	0.614840
0.623234	0.614854
0.623234	0.614867
0.623233	0.614873
0.623234	0.614874
0.623234	0.614878
0.636002	0.630099
0.636669	0.630972
0.636697	0.630990
0.636697	0.630996
0.636697	0.631008
0.636697	0.631010
0.636696	0.631011
0.637024	0.631381
0.637052	0.631426
0.637051	0.631428
0.637061	0.631431
0.637062	0.631435
0.637052	0.631436
0.637052	0.631438
0.637062	0.631439
0.637062	0.631447
0.637062	0.631449
0.637062	0.631452
0.637062	0.631452
0.646421	0.642427
0.647155	0.643468
0.647188	0.643528
0.647188	0.643531
0.647186	0.643532
0.647188	0.643540
0.647549	0.643993
0.647581	0.644056
0.647582	0.644060
0.647582	0.644062
0.647582	0.644076
0.647592	0.644080
0.647593	0.644087
0.647594	0.644090
0.647594	0.644091
0.647593	0.644096
0.647746	0.644255
0.647779	0.644321
0.647779	0.644321
0.647778	0.644321
0.647789	0.644327
0.647793	0.644330
0.647790	0.644332
0.647790	0.644336
0.647791	0.644339
0.647794	0.644341
0.647794	0.644346
0.654113	0.651487
0.654899	0.652650
0.654934	0.652729
0.654936	0.652737
0.654936	0.652738
0.654936	0.652738
0.655324	0.653273
0.655360	0.653348
0.655361	0.653358
0.655361	0.653365
0.655373	0.653382
0.655374	0.653392
0.655374	0.653394
0.655374	0.653396
0.655539	0.653570
0.655574	0.653659
0.655576	0.653665
0.655576	0.653669
0.655589	0.653681
0.655587	0.653686
0.655589	0.653689
0.655591	0.653694
0.655593	0.653694
0.655637	0.653705
0.655672	0.653786
0.655674	0.653787
0.655685	0.653791
0.655685	0.653808
0.655689	0.653811
0.655687	0.653816
0.659388	0.657629
0.660212	0.658890
0.660249	0.658988
0.660251	0.658989
0.660251	0.658989
0.660659	0.659576
0.660697	0.659663
0.660699	0.659675
0.660699	0.659681
0.660713	0.659704
0.660711	0.659705
0.660713	0.659708
0.660887	0.659916
0.660925	0.660013
0.660927	0.660022
0.660939	0.660051
0.660940	0.660052
0.660943	0.660054
0.660992	0.660070
0.661034	0.660122
0.661031	0.660170
0.661042	0.660170
0.661030	0.660170
0.661044	0.660196
0.661072	0.660219
0.661079	0.660219
0.662628	0.661338
0.663476	0.662655
0.663516	0.662747
0.663518	0.662759
0.663518	0.662764
0.664282	0.663152
0.663938	0.663375
0.663978	0.663478
0.663980	0.663489
0.663993	0.663518
0.663995	0.663522
0.664844	0.663693
0.664174	0.663749
0.664214	0.663852
0.664215	0.663858
0.664226	0.663859
0.664228	0.663891
0.664283	0.663919
0.664335	0.663959
0.664327	0.663981
0.664323	0.664018
0.664331	0.664023
0.664360	0.664046
0.665142	0.664494
0.665183	0.664597
0.665185	0.664607
0.665709	0.665044
0.665750	0.665151
0.665751	0.665152
0.665612	0.665236
0.665653	0.665345
0.665654	0.665349
0.665667	0.665382
0.665911	0.665551
0.665852	0.665619
0.665900	0.665724
0.665892	0.665726
0.665963	0.665793
0.666181	0.665793
0.666001	0.665824
0.665997	0.665864
0.666222	0.665898
0.666229	0.665899
0.666467	0.666094
0.666422	0.666175
0.666456	0.666249
0.666527	0.666317
